@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
52.3701573,4.8921484,The Amsterdam Dungeon,attraction,,,,,,
52.3448864,4.8561555,Olympiahuis,attraction,,,,,,
52.3128478,4.8244491,Geitenboerderij Ridammerhoeve,attraction,,cafe,,,,
52.4353630,4.9934514,Napoleonhuisje,attraction,yes,,,,,
52.3775788,4.9399904,Kraan 2868,attraction,yes,,,,,
52.3702214,4.8995216,Zuiderkerkstoren,attraction,,,,,,
52.3686220,4.9011934,Waterloopleinmarkt,attraction,,marketplace,,,,street market (flea market)
52.3188075,4.8241856,,attraction,,,,,tree,
52.3920158,4.7692066,Banpaal,attraction,yes,,,,,The boundary stone marks the city limits of Amsterdam which people banned from the city where not allowed to cross. It dates back to 1624.
52.3719687,4.8983608,,attraction,,,,,,
52.3667981,4.8990591,Six Collection,attraction,,,,,,
52.3656060,4.8915478,Kattenkabinet,attraction,,,,,,
52.3618254,4.8826864,Blue Boat,attraction,,,,,,
52.2821205,4.7844486,GlowGolf,attraction,,,,,,
52.3776269,4.9163299,IJ-toren,attraction,,,,,,
52.4046234,4.8906372,Blast Galaxy,attraction,,,amusement_arcade,,,
52.3040513,5.0497252,De Vriendschap,attraction,,,,,,
52.3677947,4.9168804,Kraan Entrepotdok,attraction,yes,,,,,
52.3695598,4.9040064,Gassan Diamonds,attraction,,,,,,
52.3702059,4.8919252,Nieuwzijds Kapel,attraction,yes,,,,,
52.3712304,4.8977104,Walenpoortje,attraction,,,,,,
52.3636914,4.8808218,Lovers canal Cruises,attraction,,,,,,
52.3582092,4.8914313,Amsterdam canal cruises,attraction,,,,,,
52.3674542,4.8862097,The Fault In Our Stars Bench,attraction,,bench,,,,The famous bench in The Fault in Our Stars
52.3764135,4.8981659,Stromma Open Boat Tours,attraction,,,,,,
52.3763021,4.8980264,Stromma NL,attraction,,,,,,
52.3761892,4.8978708,Stromma NL,attraction,,,,,,
52.3760909,4.8976803,,attraction,,,,,,
52.3759190,4.8974363,,attraction,,,,,,
52.3757651,4.8971842,Rederij Plas,attraction,,,,,,
52.3671687,4.8951460,Rondvaart Canal,attraction,,,,,,
52.3692824,4.8951018,Gasthuispoort,attraction,,,,,,
52.3618668,4.8825953,Blue Boat,attraction,,,,,,
52.3605379,4.8863911,,attraction,,,,,,
52.3710168,4.9120281,Glow Golf,attraction,,,,,,
52.3761472,4.8999848,Sint Olofskapel,attraction,yes,,,,,
52.3693921,4.8946812,Huis aan 3 grachten,attraction,yes,,,,,
52.3709981,4.8980255,Oost-Indisch Huis,attraction,,,,,,
52.3786758,4.8971651,Canal Cruise,attraction,,,,,,
52.3650770,4.8840860,Amsterdam Hop on Hop Off,attraction,,,,,,
52.3842002,4.9023290,This is Holland,attraction,,,,,,
52.3691622,4.8923587,Ruiterstandbeeld van Koningin Wilhelmina,attraction,memorial,,,,,
52.3635339,4.8805470,Canal Cruise,attraction,,,,,,
52.3687904,4.8895315,Spui plein,attraction,,,,,,
52.3837971,4.9022681,Over The Edge,attraction,,,,,,
52.3191242,4.9062529,Rembrandt Hoeve,attraction,,,,,,
52.4007935,4.8918456,De Pannenkoekenboot,attraction,,restaurant,,,,
52.3773046,4.8990559,Stromma,attraction,,,,,,
52.3776829,4.8995626,Rederij Kooij,attraction,,,,,,
52.3789395,4.8974418,Lovers Canal cruises/ Hop on Hop Off,attraction,,,,,,
52.3795581,4.8962393,,attraction,,,,,,
52.3691006,4.8897299,Houten Huis,attraction,,,,,,
52.3769495,4.8998343,Stromma,attraction,,,,,,
52.3738217,4.8973988,The red lights street,attraction,,,,,,
52.4012778,4.8965946,IJ-Hallen,attraction,,,,,,
52.3782050,4.9089123,,attraction,,,,,,
52.3789335,4.8974548,Stromma Hop on Hop off,attraction,,,,,,
52.3705173,4.8963120,Spinhuispoort,attraction,,,,,,
52.3689970,4.8925464,Rederij Kooij,attraction,,,,,,
52.3899596,4.9385813,Beeldenbos Noord,attraction,,,park,,,
