@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
37.9693753,23.7208104,Φυλακή του Σωκράτη,attraction,yes,,,,,
37.9697061,23.7196103,Κιμώνεια μνήματα,attraction,tomb,,,,,"Σύμφωνα με την παράδοση τύμβος του ιστορικού Θουκυδίδη και τύμβος Κίμωνος (Ολυμπιονίκης και πατέρα του Μιλτιάδη). Σύμφωνα με εγχάρακτη επιγραφή του 3ου αι. μ.Χ που σώζεται στο άνω μέρος του ανοίγματος, ο τάφος άνηκε σε κάποιον Ζωσιμιανό."
37.9430968,23.7929135,Σπήλαιο Γιδοσπηλιά,attraction,,,,,cave_entrance,
37.9398517,23.7961585,Βάραθρο Μεγάλο Πύργου,attraction,,,,,cave_entrance,
37.9397584,23.7960297,Βάραθρο Μικρό Πύργου,attraction,,,,,cave_entrance,
37.9786903,23.7246728,Ψυρρή,attraction,,,,,,
37.9753513,23.7363656,Μνημείο Αγνώστου Στρατιώτου,attraction,memorial,,,,,Was created in 1930 in honour of the victims of war.
37.9500614,23.7906215,Δρακόσπιτο,attraction,ruins,,,,,
37.9687550,23.7184959,Επτάθρονο,attraction,ruins,,,,,
37.9650376,23.6673342,Πανας Γεμελας πρακτορειο,attraction,,,,,,
37.9730839,23.7331058,,attraction,,,,,,
37.9773292,23.7246490,Συν-Οικία Πιττάκη,attraction,,,,,,Chandelier street art.
37.9882800,23.7712667,Bird cages,attraction,,,,,,
37.9676261,23.7211713,Ηρώο του Μουσαίου,attraction,tomb,,,,,
37.9714075,23.7193798,Ιερό Διός Υψίστου,attraction,ruins,,,zeus_hypsistos,,Rock-cut sanctuary. 50 AD - 250 AD
37.9783279,23.7484015,,attraction,,,,,,
37.9572678,23.7478963,,attraction,,,,,,
37.9784443,23.7248433,,attraction,,,,,,
38.0153906,23.7496307,"""Καμίνι"" Πολιτιστικό κέντρο Δήμου Γαλατσίου",attraction,,,,,,
37.9734544,23.7180753,Χιλιομετρικό Σημείο Μηδέν Αθήνας,attraction,,,,,,
37.9711184,23.7276316,Χορηγικό μνημείο Θρασσύλου,attraction,archaeological_site,,,,,Kατέρρευσε από κανονιοβολισμό το 1827. Στους χριστιανικούς χρόνους χρησιμοποιήθηκε ως εκκλησία της Παναγιάς της (Χρυσο)σπηλιώτισσας και διασώζονται στο εωτερικό μεταβυζαντινές αγιογραφίες στους τοίχους.
37.9754905,23.7238957,,attraction,,,,,,
37.9750459,23.7240038,,attraction,,,,,,
37.9744358,23.7241202,,attraction,,,,,,
37.9744195,23.7224523,,attraction,,,,,,
37.9751546,23.7223154,,attraction,,,,,,
37.9751425,23.7225123,,attraction,altar,,,,,
37.9744157,23.7269330,,attraction,,,,,,
37.9699294,23.7284670,Πρόπυλο του Ιερού του Διονύσου,attraction,,,,,,
37.9700704,23.7277079,αρχαϊκός ναός Διονύσου,attraction,,,,,,
37.9702386,23.7269591,Χορηγικό μνημείο Νικία,attraction,,,,,,
37.9723514,23.7272985,επιγραφή Περίπατου,attraction,,,,,,
37.9723849,23.7258426,Μυκηναϊκή πηγή,attraction,,,,,,
37.9721940,23.7248993,Πηγή Κλεψύδρα,attraction,,,,,,
37.9710237,23.7260583,,attraction,,,,,,
37.9707431,23.7260453,Βυζαντινή κινστέρνα,attraction,,,,,,
37.9707507,23.7263986,Πρόπυλο,attraction,,,,,,
37.9711305,23.7255029,χαλκουργία,attraction,,,,,,
37.9709732,23.7260523,ιερό της Θέμιδος,attraction,,,,,,
37.9697248,23.7314224,,attraction,,,,,,
37.9696667,23.7313941,,attraction,,,,,,
37.9696064,23.7309233,,attraction,,,,,,
37.9746108,23.7198617,,attraction,,,,,,
37.9776884,23.7211584,,attraction,,,,,,
37.9675299,23.7427886,,attraction,,,,,,
37.9752044,23.7225583,Αρχαία Αγορά,attraction,archaeological_site,,,,,
37.9925210,23.6834673,,attraction,,,,,,
37.9926171,23.6850082,,attraction,,,,,,
38.0059381,23.7025225,,attraction,,,,,,
37.9842227,23.6918768,,attraction,,,,,,
37.9865947,23.6920256,,attraction,,,,,,
37.9922283,23.7418360,Λόφος Φινοπούλου,attraction,,,,,,
37.9746429,23.7303920,Περίεργος Τοίχος Οδού Απόλλωνος 26,attraction,,,,,,
38.0084016,23.8019228,HERE Technologies Athens Greece,attraction,,,,,,
37.9781877,23.7345923,Αθηναϊκή Λέσχη-Athens Club,attraction,,,,,,
37.9465053,23.7093622,Game over,attraction,,,,,,
37.9704792,23.7470208,,attraction,,,,,,
37.9788279,23.7219179,,attraction,,,,,,
37.9849890,23.7293856,ΜΙΝΙΟΝ,attraction,,,,,,
37.9964143,23.7349222,Αντιαεροπορικό Καταφύγιο,attraction,,,,,,
