@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
60.3974347,5.3235356,Bryggen,attraction,heritage,,,,,UNESCO World Heritage Site
60.3781820,5.3114568,Ufoen,attraction,,,,,,
60.4008828,5.3158407,Kanoner,attraction,cannon,,,,,
60.4016012,5.3160501,Bergen Segway,attraction,,,,,,
60.3973320,5.3231162,Escape Bryggen,attraction,,,,,,
60.4325319,5.2886870,Hellen fort,attraction,fort,,,,,
60.2906775,5.3771104,"""Tysk kanonstilling""",attraction,,,,,,
60.3981573,5.3198080,Statraad Lehmkuhl,attraction,,,,,,
60.3952722,5.3243522,Fjordsightseeing,attraction,,,,,,
60.4119676,5.3276655,Start of Stoltzekleiven Hike,attraction,,,,,,
60.3859422,5.2194165,Olsvik luftvernbatteri,attraction,yes,,,,,
60.3991558,5.2111294,Klampevik forsvarsverk,attraction,,,,,,
60.4058759,5.3642370,Blåman luftvernbatteri,attraction,,,,,,
60.4169030,5.3211533,Sandviken batteri,attraction,fort,,,,,
60.3078337,5.2494069,Storrinden luftvernbatteri,attraction,yes,,,,,
60.3967968,5.2411527,Kvarven kystfort,attraction,fort,,,,,
60.3855028,5.3018032,,attraction,,,,,,
60.3903386,5.2416862,Kvarven lyskasterbatteri,attraction,,,,,,
60.3327707,5.2062971,Hillrafjell lyskasterbatteri,attraction,,,,,,
60.3982005,5.3225450,Kopi av sideror til skip,attraction,,,,,,
60.3701896,5.1765870,Drotningsvik lyskasterbatteri,attraction,,,,,,
60.3893179,5.2786772,Nygård luftvernbatteri,attraction,,,,,,
60.3976188,5.3241312,Thetamuseet,attraction,,,,,,
60.4090395,5.3177771,Fonnafly Bergen,attraction,,,,,,
60.3939350,5.3303568,Kanonkule,attraction,,,,,,En kanonkule er støpt fast høyt oppe på veggen. Angivelig fra slaget på Vågen 1665
60.3745932,5.3262917,Jesus Lever-steinen,attraction,,,,,rock,
60.3975207,5.3126279,Magic Ice Bergen,attraction,,,,,,
