@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
50.0652139,19.7076498,Wizerunek Matki Bożej Skalskiej,attraction,wayside_shrine,,,,,
50.1748089,19.7434114,Szum,attraction,,,,,,
50.0594822,19.9351670,Okno Papieskie,attraction,,,,,,
50.1965378,19.8317480,Rękawica,attraction,,,,,rock,
50.1968429,19.8317497,Jaskinia Ciemna,attraction,archaeological_site,,,,cave_entrance,
49.9835521,20.0530438,Parowóz TKp-2316 „Śląsk”,attraction,locomotive,,,,,
50.0590860,19.9367590,Pomnik Józefa Dietla,attraction,memorial,,,,,
50.0673537,19.9173564,Lokomotywa AGH,attraction,locomotive,,,,,
50.0671293,19.8388575,Schron dla broni maszynowej Olszanica,attraction,,,,,,
50.1806928,19.8348776,Dziurawiec,attraction,,,,,cave_entrance,
50.1614536,19.8284300,Pozostałości ruin zamku w Białym Kościele,attraction,ruins,,,,,
50.1112600,19.7124385,Bunkier typu Kochbunker,attraction,,,,,,
50.1111920,19.7051671,,attraction,,,,,,
50.1644145,19.6852589,Łom Pisarski,attraction,,,,,,
50.1565515,19.7342731,Schron bojowy,attraction,,,,,,
50.0525840,19.8506315,Kotowate,attraction,,,,,,
50.0623975,19.9369161,Studzienka Badylaka,attraction,,,,,,
50.0617718,19.9357975,Piotr Skrzynecki,attraction,memorial,,,,,
50.0669307,19.9191646,Kolejka przetokowa wozów kopalnianych,attraction,,,,,,
50.0187225,19.8010304,Bloki skalne po trzęsieniu ziemi 1786 rok.,attraction,,,,,rock,
50.0616567,19.9293148,Lapidarium,attraction,,,,,,
50.1921553,19.8364013,Grodzisko na górze Okopy,attraction,archaeological_site,,,,,
50.0367512,19.9565707,"Droga z macew (pozostałość scenografii do filmu ""Lista Schindlera"")",attraction,,,,,,
50.0000071,19.9999970,Punkt przecięcia 50°N/20°E,attraction,,,,,,"Monument wskazujący punkt przecięcia południka 20 stopni E i równoleżnika 50 stopni N w Kosocicach. Wzniesiony dnia 9 października 2012 roku z inicjatywy społecznej akcji geodezyjnej ""Honorowy Południk Krakowski"". Jest to jedno z trzech takich przecięć po"
50.1642176,19.8178024,Rekonstrukcja słupów granicznych,attraction,,,,,,
50.0079852,19.9344100,,attraction,,,,,tree,
50.0446208,19.9575477,Mury Getta żydowskiego,attraction,memorial,,,,,
50.0771414,19.9936680,EM-10 Bielik,attraction,aircraft,,,,,
50.0775445,19.9921426,SAAB J35J Draken,attraction,aircraft,,,,,
50.0775615,19.9934815,WSK TS-11 Iskra,attraction,aircraft,,,,,
50.0776259,19.9921912,SAAB AJSF 37 Viggen,attraction,aircraft,,,,,
50.0776466,19.9933799,WSK Lim-1,attraction,aircraft,,,,,
50.0774743,19.9921011,Canadair CF-104 Starfighter,attraction,aircraft,,,,,
50.0777250,19.9916170,Ilyushin Il-14S,attraction,aircraft,,,,,
50.0768703,19.9922683,Lisunow Li-2,attraction,aircraft,,,,,License-built Soviet-version of the Douglas DC-3.
50.0778074,19.9910201,Republic F-84F Thunderstreak,attraction,aircraft,,,,,
50.0778263,19.9914235,Hawker Siddeley Harrier GR3,attraction,aircraft,,,,,
50.0778799,19.9933759,WSK Lim-2,attraction,aircraft,,,,,
50.0779160,19.9911561,LTV A-7P Corsair II,attraction,aircraft,,,,,
50.0779476,19.9919935,Ilyushin Il-28R,attraction,aircraft,,,,,
50.0779862,19.9933507,WSK SBLim-2,attraction,aircraft,,,,,
50.0780122,19.9917060,Ilyushin SIl-28,attraction,aircraft,,,,,
50.0780912,19.9933418,WSK SBLim-2A,attraction,aircraft,,,,,
50.0781465,19.9914243,Jakowlew Jak-40,attraction,aircraft,,,,,
50.0781843,19.9933297,Mikojan MiG-15UTI,attraction,aircraft,,,,,
50.0781495,19.9931347,,attraction,aircraft,,,,,
50.0782793,19.9933134,WSK Lim-5R,attraction,aircraft,,,,,
50.0783763,19.9932957,WSK Lim-6Bis,attraction,aircraft,,,,,
50.0783858,19.9931459,,attraction,aircraft,,,,,
50.0784816,19.9932793,WSK Lim-6MR,attraction,aircraft,,,,,
50.0785481,19.9909807,Mikojan MiG-29GT,attraction,aircraft,,,,,
50.0785959,19.9932744,WSK Lim-6M,attraction,aircraft,,,,,
50.0786504,19.9916792,Sukhoj Su-22UM3K,attraction,aircraft,,,,,
50.0786533,19.9909775,Sukhoi Su-22M-4,attraction,aircraft,,,,,
50.0786597,19.9912047,Mikojan MiG-23MF,attraction,aircraft,,,,,
50.0786756,19.9932557,Mikojan MiG-19PM,attraction,aircraft,,,,,
50.0786796,19.9918780,Sukhoj Su-22M-4,attraction,aircraft,,,,,
50.0786636,19.9903426,,attraction,aircraft,,,,,
50.0787241,19.9922998,Mikojan MiG-21bis,attraction,aircraft,,,,,
50.0787231,19.9906821,WSK Mi-2R,attraction,aircraft,,,,,
50.0787312,19.9924991,Mikojan MiG-21M,attraction,aircraft,,,,,
50.0787309,19.9903035,WSK Mi-2T Wiarus,attraction,aircraft,,,,,
50.0787330,19.9926582,,attraction,aircraft,,,,,
50.0787353,19.9928180,,attraction,aircraft,,,,,
50.0787461,19.9912524,Sukhoj Su-20,attraction,aircraft,,,,,
50.0787640,19.9902844,,attraction,aircraft,,,,,
50.0787765,19.9914469,Sukhoj Su-7UM,attraction,aircraft,,,,,
50.0787805,19.9916689,Sukhoj Su-7BKŁ,attraction,aircraft,,,,,
50.0787894,19.9918798,Sukhoj Su-7BM,attraction,aircraft,,,,,
50.0788196,19.9920145,Mikojan MiG-21US,attraction,aircraft,,,,,
50.0788272,19.9906081,PZL-101 Gawron,attraction,aircraft,,,,,
50.0788343,19.9902509,,attraction,aircraft,,,,,
50.0788269,19.9921696,Mikojan MiG-21U,attraction,aircraft,,,,,
50.0788312,19.9923425,Mikojan MiG-21MF,attraction,aircraft,,,,,
50.0788391,19.9925156,Mikojan MiG-21R,attraction,aircraft,,,,,
50.0788536,19.9926855,Mikojan MiG-21PFM,attraction,aircraft,,,,,
50.0788614,19.9928630,Mikojan MiG-21PF,attraction,aircraft,,,,,
50.0788701,19.9930368,Mikojan MiG-21F-13,attraction,aircraft,,,,,
50.0790578,19.9899427,Antonov An-26,attraction,aircraft,,,,,
50.0790910,19.9904161,PZL-106AR Kruk,attraction,aircraft,,,,,
50.0792724,19.9903468,WSK PZL An-2R,attraction,aircraft,,,,,
50.0794574,19.9902828,PZL M-15 Belphegor,attraction,aircraft,,,,,
50.0768761,19.9904302,Mil Mi-8PS,attraction,aircraft,,,,,
49.9405630,19.6854255,Pałac w Paszkówce,attraction,castle,,,,,
50.0892974,19.7506141,"Skała ""Krzywy Sąd""",attraction,,,,,,
50.0433677,19.8197711,Jak-23,attraction,aircraft,,,,,
50.0596033,19.9380154,Lustrzany Labirynt,attraction,,,,,,
