@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
47.2060317,-1.5640668,Galerie des Machines de l’île,attraction,,,,,,
47.2061287,-1.5645343,Voyage en Éléphant,attraction,,,,,,
47.2481769,-1.5855275,Parc Michel Baudry,attraction,,theatre,playground,,,
47.1449139,-1.5217566,cadran solaire,attraction,,clock,,,,
47.2154664,-1.5461970,Tour LU,attraction,,,,,,
47.2070447,-1.5605555,The Zebra Crossing – Regulations and General Directions,attraction,,,,,,
47.2189248,-1.5429010,Volière,attraction,,,,,,
47.2059434,-1.5643776,Atelier la Machine,attraction,,,,,,
47.2341637,-1.6527655,Karting,attraction,,,,,,
47.2186326,-1.5412013,,attraction,,,,,,
47.2050093,-1.5633466,Les Machines de l’Île,attraction,,,,,,
