@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
40.8679048,14.1245593,Montagna Spaccata,attraction,,,,,,
40.8046575,14.3473282,Scavi di Ercolano,attraction,,,,,,
40.7982097,14.0840679,Cento Camerelle (chiuso),attraction,archaeological_site,,,,,
40.7847675,14.0850637,Grotta della Dragonara,attraction,archaeological_site,,,,,
40.8512550,14.2567077,Napoli Sotterranea,attraction,,,,,,
40.8970433,14.1988320,Ciaurro,attraction,,,,,,
40.8638245,14.2470329,Catacombe di San Gennaro,attraction,archaeological_site,,,,,
40.8232232,14.2192340,Fontana del Sebeto,attraction,,fountain,,,,
40.8651764,14.2464508,Fontana della Duchessa Elena d'Aosta,attraction,,fountain,,,,
40.7940247,14.1848020,Odeon,attraction,ruins,,,,,
40.7945857,14.1847500,Teatro,attraction,ruins,,,,,
40.8506671,14.2576704,Neapolis Sotterrata,attraction,archaeological_site,,,,,
40.8274575,14.1402297,Campi Flegrei,attraction,,,,,volcano,
40.8510787,14.2568470,Napoli Sotterranea,attraction,archaelogical_site;mine;aqueduct,,,,,
40.8273196,14.1403934,Solfatara,attraction,,,,,volcano,
40.8962451,14.1981650,Ciaurriello,attraction,,,,,,
40.8572013,14.2886133,Casa d'Elena Greco,attraction,,,,,,
40.8387734,14.2925757,Usine Soccavo,attraction,,,,,,
40.8389116,14.2480251,Funicolare,attraction,,,,,,
40.8495479,14.2584823,Ospedale delle bambole,attraction,,,,,,
40.8284222,14.2484141,Borgo Marinari,attraction,,,,,,
40.8561456,14.2507798,Rione Sanita,attraction,,,,,,
40.8829974,14.2383828,Carrozze Centoporte,attraction,railway_car,,,,,
40.8500591,14.2602720,,attraction,,,,,,
