@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
50.1431696,14.4518470,menhir Zkamenělý slouha,attraction,archaeological_site,,,,stone,
50.0644233,14.4173861,Vyšehrad,attraction,,,,,,
50.1079309,14.3849833,Zemní pyramidy,attraction,,,,,,
50.0312204,14.3198472,Symbolická brána,attraction,,,,,,
50.1160170,14.4106499,lachtani,attraction,,,,,,
50.0309812,14.3169457,Placatá skála,attraction,,,,,,
50.0643113,14.4191425,Čertův sloup,attraction,boundary_stone,,,,,
50.0898925,14.3987514,Matyášova brána,attraction,,,,,,
50.0903231,14.4003806,svatý Jiří,attraction,memorial,,,,,
50.1321898,14.5175225,L-39 Albatros,attraction,,,,,,
50.0360540,14.3551746,kamenné sochy,attraction,,,,,,
49.9624393,14.4083413,Závist,attraction,,,,,,
49.9710546,14.4146720,Šance,attraction,,,,,,
50.0263009,14.4878085,,attraction,,,,,tree,
50.0289187,14.4876340,Hraniční dub,attraction,,,,,tree,
50.0782356,14.3192415,Bílá hora,attraction,,,,,peak,
50.1445545,14.4828950,bývalá Battistova cihelna,attraction,,,,,,
50.0892920,14.4065157,grotta,attraction,,,,,,
50.0259400,14.4867115,Dub Jaroslava Jíry,attraction,,,,,tree,
50.1169938,14.4143838,expozice výroby vína,attraction,,,,,,
50.1175230,14.4123521,viniční lis,attraction,,,,,,
50.0259434,14.4872189,Dub Miloslava Bureše,attraction,,,,,tree,
50.0863116,14.4143906,svatý Václav,attraction,memorial,,,,,Viniční sloup se sochou svatého Václava
50.1303855,14.4416468,,attraction,,,,,tree,
50.0892509,14.3915129,Loretánská zvonohra,attraction,,,,,,
50.0823170,14.4077913,Veršomat,attraction,,,,,,
50.0857934,14.4035508,Pražské Jezulátko,attraction,,,,,,
50.0867985,14.4165155,Barokní knihovní sál,attraction,,,,,,
50.0869198,14.4165128,Zrcadlová kaple,attraction,,place_of_worship,,christian,,
50.0865908,14.4108808,Svržení Jana Nepomuckého z mostu,attraction,wayside_shrine,,,christian,,
50.0843662,14.4230850,středověký hradební můstek,attraction,ruins,,,,,ve vestibulu metra
50.1320127,14.2845813,,attraction,,,,,,
50.0825484,14.4148092,,attraction,,,,,,
50.0883710,14.4249736,Jan Václav Vratislav z Mitrovic,attraction,tomb,,,,,
50.0882744,14.4246229,Zlodějova ruka,attraction,,,,,,
50.1181815,14.4073611,Afrika,attraction,,,,,,
