@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
43.5086977,16.4408684,Velika Papalićeva palača,attraction,,,,,,
43.5114421,16.4126975,Labirint,attraction,,,,,,
43.5081301,16.4383471,Mletačka kula,attraction,,,,,,
43.5091579,16.3995967,Eremitaža,attraction,,,,,,
43.5082521,16.4396154,Pusti me da prođem,attraction,,,,,,Narrowest street in the city
43.5075245,16.4397181,,attraction,,,,,,
43.5089517,16.4258815,Dalmatinski bušak,attraction,,,,,,
43.5088060,16.4262087,Bračka ovca,attraction,,,,,,
43.5088924,16.4256121,Dalmatinska buša,attraction,,,,,,
43.5085668,16.4262355,Primorsko-dinarski magarac,attraction,,,,,,
43.5087147,16.4261223,Dalmatinska kokoš,attraction,,,,,,
43.5085387,16.4264606,Hrvatska šarena koza,attraction,,,,,,
43.5087171,16.4264032,Dalmatinski puran,attraction,,,,,,
43.5087309,16.4256866,Čančara,attraction,,,,,,
43.5087195,16.4258224,Veliki kunić,attraction,,,,,,
43.5474955,16.5198518,Kliško polje,attraction,,,,,,
43.5075787,16.4397850,Podrumi Dioklecijanove palače,attraction,,,,,,
43.5088780,16.4262728,Hrvatska bijela koza,attraction,,,,,,
43.5088430,16.4264623,Poni konj,attraction,,,,,,
43.5582230,16.3854966,Winery Vucica,attraction,,,,,,
