@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
40.6422969,22.9555572,Πορτάρα,attraction,city_gate,,,,,
40.6333068,22.9455005,Red House,attraction,,,,,,
40.6359733,22.9426557,Καπάνι (Βλάλη),attraction,,marketplace,,,,
40.6496261,22.9548598,"Ανοιχτό Θέατρο ""Μάνος Κατράκης""",attraction,,theatre,,,,
40.6284534,22.9503711,,attraction,,,,,,
40.6202299,22.9521942,,attraction,,,,,tree,
40.6431468,22.9159713,lom palanka,attraction,,,,,,
40.6405924,22.9502341,Οθωμανική Κρήνη ή Σαρκοφάγος ή Νέκυια,attraction,,,,,,
40.6439059,22.9524675,Παλαιά Πύλη (Εσκί Ντελίκ),attraction,,,,,,
40.5889579,22.9417224,Σκάλα των προσφύγων στο Καραμπουρνάκι,attraction,,,,,,
40.6429488,22.9488996,Οθωμανική Κρήνη,attraction,,,,,,
