@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
45.9113712,10.8338622,Cascata del Varone,attraction,,,,,,
45.8453740,11.0130416,Ruina Dantesca,attraction,,,,,,
45.8739840,11.0388813,Campana dei Caduti,attraction,monument,,,,,
46.0091160,10.9732452,Carega del Diaol,attraction,archaeological_site,,,,,
45.9033082,11.1359144,Cascata dell'Hofentol,attraction,,,,,,
46.0650426,11.0419875,Santuario e Monastero Sant'Anna,attraction,,,,,,
45.8891430,11.0160727,Opera Ciclica,attraction,,,,,,
45.8602988,10.9678543,Prea dela farina,attraction,,,,,,
45.7447116,11.2412551,Segheria Veneziana,attraction,,,,,,
45.7571120,11.2581139,,attraction,,,,,,
46.4438054,11.1422773,Canyon Rio Sass,attraction,,,,,,
46.4446615,11.2455579,Eislöcher - Buche di ghiaccio,attraction,,,,,,
46.3227322,11.3488580,Naturparkhaus Trudner Horn - Centro visite Parco Naturale Monte Corno,attraction,,,,,,
46.3205281,11.3399159,Kalkbrennofen - Calcara,attraction,,,,,,
45.6309027,11.0930570,Valle delle Sfingi,attraction,,,,,,
46.1466485,11.4363642,Orto Botanico,attraction,,,,,,
46.0096081,11.3054200,Tomba romana (Roman sarcophagus),attraction,archaeological_site,,,,,
45.6503358,10.9893763,Malga Faggioli,attraction,,restaurant,,,,Goat farm. All kinds of Goat cheese and goat mild products.
46.4914054,10.8930012,Urlärchen,attraction,monument,,,,,
45.6210264,11.5583227,Villa Da Porto-Casarotto,attraction,,,,,,"architetto Ottone Calderari, 1770"
45.6174503,11.5437034,Villa Da Porto Pedrotti,attraction,,,,,,"architetto Andrea Palladio, 1554. Dipinti di"
45.9299671,10.8257563,Travaglio,attraction,,,,,,
46.3661900,10.8935403,Mulino ad acqua,attraction,,,,,,
46.4076181,10.8114890,Seghja di Braghje,attraction,,,,,,
45.9690179,10.9375511,Fine Ferrata Rio Sallagoni,attraction,,,,,,
46.4246483,11.9331554,Serrai di Sottoguda,attraction,,,,,,
45.6081021,10.8163403,Platano dei 100 bersaglieri,attraction,tree,,,,tree,
45.8797071,10.8852714,Marmitte dei Giganti,attraction,,,,,,
46.0480176,10.9406939,,attraction,wayside_cross,,,,,
45.7347306,11.5151429,Villa Giusti,attraction,manor,,,,,
45.8678559,11.6348076,Calá del Sasso,attraction,,,,,,
45.8435538,11.6681485,Grotte di Oliero,attraction,,,,,cave_entrance,
