Dublin,Ireland,moderate
Belfast City,Great Britain,moderate
Edinburgh, Great Britain,moderate
Aberdeen City,Great Britain,moderate
London,Great Britan,moderate
Cardiff,Great Britain,moderate
Höfuðborgarsvæðið, Iceland,cold
Oslo,Norway,cold
Vestland,Norway,cold
Troms og Finnmark,Norway,cold
Noord-Holland,The Netherlands,moderate
Tirol,Austria,cold
Salzburg,Austria,cold
Praha,Cech Republic,moderate
Małopolskie,Poland,moderate
Pomorskie,Poland,moderate
Warmińsko-mazurskie,Poland,moderate
Splitsko-dalmatinska županija,Croatia,hot
Dubrovacko-neretvanska županija,Croatia,hot
Ionía Nísia,Greece,hot
Kentrikí Makedonía,Greece,hot
Attikí,Greece,hot
Napoli,Italy,hot
Trento,Italy,moderate
Venezia,Italy,hot
Bari,Italy,hot
Métropole de Lyon,France,moderate
Paris,France,moderate
Loire-Atlantique,France,moderate
Barcelona,Spain,hot
Istanbul,Turkey,hot
