@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
37.9999666,23.7169261,restaurant,,,,,
38.0277519,23.7298142,restaurant,,,,,
37.9323200,23.6985008,restaurant,gyros;souvlaki,Γυράδικο Μου,Mo-Su 11:00-01:00,,
37.9938846,23.7657194,restaurant,,Nikiforos,,,
37.9940292,23.7651509,restaurant,,Σουφάλα,Su 11:56-24:00; Mo-Sa 11:56-01:00,,
37.9873330,23.7581894,restaurant,pizza,Roma Pizza,,,
37.9868445,23.7573743,restaurant,,Αγορά,Mo-Sa 09:00-02:00; Su 12:00-01:00,,
37.9885234,23.7583458,restaurant,chinese,Πανόρμου Γεύσεις,,,
37.9916580,23.7599337,restaurant,,Yum Yum,,,
37.9917821,23.7628769,restaurant,greek,Filarákia,,,
37.9870062,23.7610519,restaurant,american,TGI Friday's,,,
37.9731059,23.7471654,restaurant,,Fatsio,Mo-Su 00:00-18:00,,
37.9919607,23.7609442,restaurant,,Κουτούκι 54,,,
37.9979677,23.7686201,restaurant,,,,,
37.9898082,23.7587774,restaurant,,Μυλόλιθος,"Mo-Sa 13:00-01:00, Su 13:00-24:00",,
37.9760827,23.7614098,restaurant,,Απλά Σπιτικό,Mo-Su 13:00-24:00,,
37.9820399,23.7435564,restaurant,greek,K.Grill,,,
38.0468723,23.7690040,restaurant,,Noodle Bar,,,
37.9891400,23.7438153,restaurant,,Αλεξάνδρα,,,
37.9299052,23.7521776,restaurant,,,,,
38.0004387,23.8185175,restaurant,greek,Κολοβός,"Mo-Sa 19:00-00:00, Su 12:00-17:00",,
38.0047990,23.8226978,restaurant,,Nanninella,,,
37.9746825,23.7665620,restaurant,,Λινάτσα,,,
37.9635493,23.8044281,restaurant,,Aναψυκτήριο Δ.Καισαριανής (Καλοπούλα),Mo-Su 07:30-18:00,,
37.9878531,23.7599011,restaurant,greek,Ραέτι,,,
37.9934655,23.7298176,restaurant,greek,Τύλιξέ το,,,
37.9740547,23.7816528,restaurant,,Εστιατόριο Εστίας,,,
37.9742823,23.7278834,restaurant,,Πλάτανος,,,
37.9975045,23.7571153,restaurant,greek,Το κονάκι,,,
37.9785113,23.6575428,restaurant,,koumpouras,,,
37.9534960,23.6222487,restaurant,,Μήπως,,,
37.9621204,23.6472379,restaurant,,Το ταβερνάκι της Εύης,,,
37.9619963,23.7092187,restaurant,,Mandragoras,,,
38.0030363,23.7418536,restaurant,,Panagos,,,
37.9795869,23.7270432,restaurant,indian,ABC Indian Tandoori,,,
37.9800313,23.7268757,restaurant,,Οινομαγειρείο,,,
38.0009157,23.7196687,restaurant,greek,Το Ιόνιο,,,
38.0438063,23.8072376,restaurant,greek;international,,,,
37.9537384,23.6212488,restaurant,fish,Ε/Γ Ταξιδεύοντας,,,
37.9763006,23.7750987,restaurant,,Τα 6 Αδέλφια,,,
37.9746647,23.7774534,restaurant,greek,Ψητοπωλείο Θανάσης,,,
37.9744283,23.7776961,restaurant,,Σχολαρχείο,,,
38.0005252,23.7198202,restaurant,greek,Η Γωνιά του Κάδμου,,,
37.9804549,23.7451764,restaurant,greek,Ροδιά,,,
38.0102840,23.8588984,restaurant,italian,Peperoncino,,,
38.0064366,23.7295607,restaurant,,Ο Γιάννης,,,
