@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
41.3816867,2.0766452,restaurant,,Ateneu de Sant Just Desvern,,,
41.3836428,2.1583028,restaurant,,Amaltea,"Mo-Su 13:00-16:00, Sa 20:00-23:00",,
41.3895184,2.1621769,restaurant,japanese,Hanibishi,"PH,Mo-Su 13:00-16:30,19:00-23:30",,
41.3899967,2.1318367,restaurant,regional,Moncho's House,,,
41.3836716,2.1806392,restaurant,spanish,Taller de Tapas,,,
41.3942273,2.1098990,restaurant,,El Jardí de l'Abadessa,,,
41.4090615,2.0203431,restaurant,,Calasanz,,,
41.3975532,2.1230797,restaurant,,Bar Tomás,,,
41.4523498,2.2087628,restaurant,italian,La Tagliatella,,,
41.4540651,2.2064721,restaurant,italian,Pizzeria Pulcinella,,,
41.3817618,2.1834151,restaurant,,Can Paixano,Mo-Sa 09:00-22:30,,
41.3949813,2.1916505,restaurant,,La Brasería,,,
41.3934539,2.1881434,restaurant,chinese,Palacio de China,,,
41.4478580,2.1319638,restaurant,,Restaurant Can Valldaura,,,
41.3210506,2.0998481,restaurant,chinese,Restaurante Chino Peking - 北京酒楼,,,
41.3231631,2.1051610,restaurant,regional,La Moreneta,,,
41.3224502,2.1038954,restaurant,seafood,El Capitán Garfio,,,
41.4021663,2.1623411,restaurant,,Cal Boter,,,
41.3767803,2.1365656,restaurant,lebanese,Fenicia,,,
41.3771427,2.1369905,restaurant,chinese,Hoja Verde,,,
41.3770424,2.1368715,restaurant,catalan,La Maria del Rocxi,,,
41.3769979,2.1368104,restaurant,palestinian,Simbad - Feteria,,,
41.3768914,2.1366906,restaurant,lebanese,CaFeniciana,,,
41.3769402,2.1367319,restaurant,catalan,El jardi de Sants,,,
41.3772237,2.1370878,restaurant,italian,Calero's,,,
41.3760228,2.1358001,restaurant,italian,Ciutat Comtal,,,
41.4020495,2.1621618,restaurant,,Cal Robert,,,
41.4019352,2.1620020,restaurant,,Panet Farcit,,,
41.4020155,2.1628862,restaurant,,,,,
41.4421429,2.0673026,restaurant,,A'Feira,,,
41.4050064,2.1746553,restaurant,,Origen 99%,,,
41.4065110,2.1742446,restaurant,italian,La Piazzenza,,,
41.4082610,2.1745610,restaurant,,Tapes Gaudí,,,
41.4086056,2.1745607,restaurant,,Aladdin,,,
41.4050002,2.1743223,restaurant,,Babilonia,,,
41.3742363,2.1522045,restaurant,,Restaurant Buffet,,,
41.4477197,2.1426389,restaurant,,Asador Casa Juaco,,,
41.3861320,2.1740260,restaurant,,Cerveceria Taller de tapas,,,
41.4422760,2.2165561,restaurant,,Can Manel,,,
41.3823086,2.1765833,restaurant,,Ferran 59,,,
41.3824742,2.1815472,restaurant,,Vila Viniteca,Mo-Sa 08:30-20:30,,
41.3791435,2.1747253,restaurant,regional,Centro Galego,,,
41.4053700,2.1934837,restaurant,japanese,Restaurante UN-ZA,"Mo-Su 13:00-16:00,20:00-23:30",,
41.4035018,2.1977649,restaurant,,Anormalfood,,,
41.4028580,2.1987158,restaurant,spanish,braseria xorus,,,
41.4027269,2.1989008,restaurant,,La broqueta,,,
41.4027071,2.1989239,restaurant,indian,Sitar,,,
41.3962523,2.1830333,restaurant,,Tierra da Lua,,,
