@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
41.1888232,16.6718730,restaurant,pizza,Il Porticciolo,,,
41.1307725,16.5404709,restaurant,,Il Vicolo,,,
41.1064475,16.9197148,restaurant,pizza,Pizzeria San Marco,,,
40.9692697,16.9206528,restaurant,,,,,
41.1385020,16.5477041,restaurant,,Relais degli Ulivi,,,
41.1304372,16.5493373,restaurant,italian,Braci piacenti,,,
41.1150595,16.8727470,restaurant,chinese,Sole Rosso,,,
41.1154633,16.8724688,restaurant,,Pizzeria Joseph,,,
41.1135393,16.8732556,restaurant,japanese,Sushi Lin,,,
41.1306924,16.5513302,restaurant,pizza,Pizzeria Pineta,,,
41.1267971,16.8717494,restaurant,pizza,Pizzeria Diana,,,
41.1274257,16.8716786,restaurant,,Biergarten da Gianna,,,
41.1271714,16.8716834,restaurant,pizza,Pizzeria il Veliero,,,
41.1275807,16.8720675,restaurant,pizza,Pizzeria il Ferrarese,,,
41.1275878,16.8722577,restaurant,,Paria,,,
41.1279130,16.8714243,restaurant,,La parrilla de Juan,,,
41.1279194,16.8729492,restaurant,italian,Terrazza Venezia,,,
41.2120987,16.5522104,restaurant,,Taverna del Gigante,,,
41.1306798,16.5473013,restaurant,italian,La Lupa,,,
41.0980054,16.8675964,restaurant,,Pizzeria Tarantini,,,
41.0037597,17.2014609,restaurant,,Cozze Nere,,,
41.0137942,17.1927037,restaurant,italian,La Veranda di Giselda,Mo-Su 07:30-24:00,,
41.0137439,17.1939843,restaurant,,La colonna,,,
41.0027249,17.2024521,restaurant,seafood,Da Tuccino,,,
41.1085726,16.8761256,restaurant,,,,,
41.1085645,16.8768552,restaurant,,L'Osteria di Mario,,,
41.1066921,16.9043464,restaurant,,Cris & Bio,,,
41.1003609,16.8353971,restaurant,italian;pizza,RistoPizza Country Club,,,
41.0971612,16.8552172,restaurant,,Bari a Tavola,,,
41.0923281,16.8671304,restaurant,pizza,Pizzeria Opera Prima,,,
41.1290730,16.5419500,restaurant,,Trattoria La Frascèr,,,
40.9578715,17.1906958,restaurant,steak_house;barbecue;regional;local,"Hostaria ""La Baracca""","We-Mo 13:00-15:00, 19:00-23:30",,
41.0975914,16.8712591,restaurant,,U' gnore,,,
41.1059473,16.8662077,restaurant,chinese,Ristorante Cinese,,,
41.1059089,16.8670042,restaurant,pizza,Pizzeria Di Cosimo,,,
41.1055009,16.8784361,restaurant,regional,Da Nonno Marcello,,,
40.9901846,17.2284908,restaurant,italian,Pizzeria Happy Days,,,
40.9949915,17.2152353,restaurant,,Villa degli Aranci,,,
41.1248632,16.8685251,restaurant,italian,Capriccio e Tentazione,,,
40.9815190,17.1838235,restaurant,,Sala ricevimenti Villa Anthos,,,
41.0879355,16.9999658,restaurant,fish,Zia Teresa,,,
41.0133604,17.1918476,restaurant,italian,La locanda dell'abbazia,,,
41.1227537,16.8641786,restaurant,italian,Pizzeria Il Rustico,,,
40.9963593,17.2232295,restaurant,italian,Ristorante Pizzeria Grotta Ardito,,,
41.1015074,16.8765143,restaurant,,La 'Mbriana,,,
41.0889131,16.8650678,restaurant,pizza,Pizzeria Quadrifoglio,,,
41.0929723,16.8612585,restaurant,pizza,Pizzeria King 2,,,
41.1289063,16.5424822,restaurant,pizza,I tigli,,,
41.1289605,16.5425745,restaurant,italian,Alighieri Eventi,,,
41.1270343,16.5447410,restaurant,italian,Il Carradore,,,
41.1283785,16.5491185,restaurant,pizza,Marchino,,,
41.1388193,16.8408576,restaurant,pizza,Pizzeria Santa Lucia,,,
41.1387650,16.8407597,restaurant,pizza,Pizzeria Provolina,,,
41.1319707,16.5358312,restaurant,pizza,,,,
41.0983240,16.8513269,restaurant,pizza,RossoPomodoro,,,
41.1004121,16.8567248,restaurant,pizza,Fratelli La Bufala,,,
41.1289537,16.8675569,restaurant,italian,,,,
41.1262554,16.8711301,restaurant,pizza,Mastro Ciccio,,,
41.1289081,16.8721051,restaurant,,Cianna Cianne,,,
41.1365177,16.8457285,restaurant,,,,,
41.1333408,16.5472033,restaurant,pizza,O' Vesuvio,,,
41.0686068,16.8653193,restaurant,pizza,Pizzeria Antoine,,,
41.1098806,16.8607788,restaurant,chinese,Ristorante Cinese,,,
41.1828970,16.5836621,restaurant,pizza,Chalet del Sole,,,
41.0928718,16.8595155,restaurant,,Giampà,,,
41.0594470,16.8062577,restaurant,,Ristorante VIII Talento,,,
41.0948659,16.8779489,restaurant,italian,La Vecchia Data,,,
41.0893069,16.9939123,restaurant,fish,Ristorante,,,
41.0996563,16.8843806,restaurant,,Cortigiano,,,
41.0986547,16.8712473,restaurant,pizza,Al Gusto Antico,,,
41.0423405,16.8862028,restaurant,regional,Birrosteria,,,
41.1063512,16.9162095,restaurant,,Nico,,,
41.1151948,16.8916941,restaurant,,,,,
40.9980932,17.2152045,restaurant,italian,La tana marina,,,
41.0946760,16.8606780,restaurant,pizza,Pizzeria Aladino,,,
41.2029320,16.5981739,restaurant,pizza,Al Capriccio,,,
41.2048271,16.5977488,restaurant,italian,Vetusta Nursia,,,
40.9527173,17.3044106,restaurant,italian,Osteria Perricci,"Mo-Su 12:00-14:30,20:00-23:30; We off",,
41.1956672,16.5979219,restaurant,pizza,Vecchia Roma,,,
41.1357011,16.8294533,restaurant,pizza,Pizzeria Il Covo,,,
41.1999805,16.6007372,restaurant,turkish,Marhaba,,,
41.1880876,16.6718536,restaurant,regional,Pugliaccio,,,
41.1021699,16.8595289,restaurant,pizza,Pizzeria Nottedì,,,
40.9894113,16.8308438,restaurant,regional,Terre di Sizzaro,,,
40.9607039,17.1735071,restaurant,,Ristorante pizzeria Il Girasole,,,
41.0219253,16.8135499,restaurant,italian,La Leggenda del Tesoro,,,
41.2036814,16.6018434,restaurant,,La Baguetterie Molfetta,,,
41.1341791,16.8258482,restaurant,pizza;italian;regional;fish;meat;friture,Ristopizza La Sosdisfazione,"Mo-Su 13:30-15:30,20:00-23:59",,
41.1935391,16.6279413,restaurant,,Rosa dei Venti,,,
41.0563958,16.6498223,restaurant,italian,Masseria Vero,,,
41.0751163,16.9324703,restaurant,pizza,,,,
40.9405841,17.3154927,restaurant,italian,Ristorante ricevimenti Copacabana,,,
40.9942643,17.2209148,restaurant,italian,Antica Trattoria Comes,"Mo-Su 12:30-15:00,19:30-24:00; We off",,
41.1917106,16.5778123,restaurant,,Corte degli Aranci,,,
41.1623806,16.7595603,restaurant,italian,La brace nel vicolo,,,
41.1093950,16.8741658,restaurant,chinese,Red Sky Wok,,,
