@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
54.5996803,-5.9252612,restaurant,friture,The Windmill,,,
54.6034444,-5.9285422,restaurant,,Tao Noodle Bar,,,
54.5875415,-5.9323383,restaurant,indian,Botanic Spice,,,
54.5964131,-5.9325318,restaurant,,Made In Belfast,,,
54.5866178,-5.9361281,restaurant,chinese;japanese;asian,3 levels-Asian Fusion,,,
54.5876792,-5.9326284,restaurant,fish_and_chips,The Chip Shop,,,
54.5950132,-5.8683884,restaurant,international,Neills Hill,,,
54.5943355,-5.9356179,restaurant,,,,,
54.5864220,-5.9324347,restaurant,,Cafe Renoir,,,
54.5868217,-5.9326086,restaurant,italian,Scalini,,,
54.5857091,-5.9320564,restaurant,,Molly's Yard,,,
54.5835291,-5.9374687,restaurant,,Deane's at Queens,,,
54.5824948,-5.9351517,restaurant,,Yellow Door,,,
54.5813141,-5.9362124,restaurant,,,,,
54.5864021,-5.9395415,restaurant,,,,,
54.5754803,-5.9549257,restaurant,,Camile,,,
54.5754413,-5.9556332,restaurant,pizza,PizzaExpress,,,
54.5755032,-5.9555457,restaurant,pizza,Greens Pizza,,,
54.5758655,-5.9545641,restaurant,fish_and_chips,Cafe Fish,,,
54.5759060,-5.9545131,restaurant,taiwanese,BaoBun,,,
54.5762853,-5.9539552,restaurant,indian,,,,
54.5557281,-5.8940498,restaurant,steak_house,Grill,,,
54.6030908,-5.9273778,restaurant,,The Potted Hen,,,
54.5989569,-5.9270963,restaurant,pizza,Little Wing,,,
54.5980253,-5.9286990,restaurant,american_bbq,Bubbacue,,,
54.5971138,-5.9275328,restaurant,regional,Ampm,,,
54.5941750,-5.9309377,restaurant,,Deanes Deli,,,
54.5944096,-5.9309538,restaurant,sandwich,Harlem Cafe,,,
54.6005939,-5.9255625,restaurant,,Bert's Jazz Bar,,,
54.6004088,-5.9259162,restaurant,,The National,,,
54.6016075,-5.9258582,restaurant,tapas,2taps,,,
54.5780489,-5.9820015,restaurant,italian,Goodfellas Restaurant,,,
54.5760075,-5.9814574,restaurant,,The Temple Restaurant,,,
54.6280562,-5.9392237,restaurant,,Chester,,,
54.5996381,-5.9274730,restaurant,,Isibeal's Restaurant,,,
54.5974566,-5.9298662,restaurant,regional,Robinson and Cleaver,,,
54.5970433,-5.9317546,restaurant,salad,Freshii,,,
54.5869969,-5.9326734,restaurant,,The Other Place,,,
54.5861811,-5.9362182,restaurant,italian,Villa Italia,,,
54.5939240,-5.9321537,restaurant,,RBG Bar & Grill,,,
54.6015329,-5.8501686,restaurant,,Dining Hall,,,
54.6041203,-5.9154720,restaurant,pizza,Pizza Hut,,,
54.5951414,-5.8655455,restaurant,,Graze,,,
54.5948428,-5.8654819,restaurant,pizza,Green's,,,
54.5993627,-5.9220175,restaurant,,Ox,,,
54.5940756,-5.9340780,restaurant,chinese,Red Panda,,,
54.5914441,-5.9325237,restaurant,thai,Thai Village,,,
54.5808693,-5.9787685,restaurant,,26 West,,,
54.5839668,-5.9438105,restaurant,indian,The Jharna,,,
54.5949373,-5.8660353,restaurant,italian,Il Pirata,,,
54.6007286,-5.8782557,restaurant,,Bennett's,,,
54.6034652,-5.9269537,restaurant,italian,Coppi,,,
54.6016349,-5.9263123,restaurant,,Yardbird (Dirty Onion),,,
54.6026490,-5.9275965,restaurant,,Made In Belfast - Cathedral Quarter,,,
54.5945283,-5.9334786,restaurant,,Byblos,,,
54.6004429,-5.9288806,restaurant,,Blu,,,
54.6004086,-5.9283042,restaurant,,Blinkers,,,
54.5999755,-5.9278462,restaurant,,Strikes,,,
54.5750361,-5.9168631,restaurant,,Shed,,,
54.5753230,-5.9171820,restaurant,indian,Bengal Brasserie,,,
54.5754399,-5.9172038,restaurant,pizza,Pizza Hut,,,
54.5757230,-5.9174292,restaurant,italian;indian,Ambrosia,,,
54.5766283,-5.9181054,restaurant,chinese,Gaze,,,
54.5768758,-5.9182655,restaurant,french,L'Etoile du Nord,,,
54.5810185,-5.9212790,restaurant,chinese,Macau,,,
54.5808030,-5.9352362,restaurant,chinese,Welcome,,,
