@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
60.3966904,5.3256915,restaurant,sushi,Nama Sushi & Noodles,Mo-Sa 13:00-24:00; Su 13:00-23:00,,
60.3965472,5.3253610,restaurant,,Big Horn Steak House,Mo-Sa 15:00-23:00; Su 14:00-22:00,,
60.3917219,5.3242763,restaurant,pizza,Peppes Pizza - Ole Bulls Plass,Mo-We 11:00-23:00; Th-Sa 11:00-24:00; Su 12:00-23:00,,
60.3913702,5.3238951,restaurant,american,TGI Friday's,Mo 11:30-23:30; Tu-Th 11:30-00:30; Fr-Sa 11:30-01:30; Su 12:00-01:30,,
60.3769477,5.3387420,restaurant,,Bien bar,"""on appointment""",,
60.3775486,5.3381745,restaurant,pizza,Forum Pizzeria,Mo-Fr 11:00-22:00; Sa-Su 13:00-23:00,,
60.3612755,5.3442152,restaurant,pizza,Dolly Dimples Minde,,,
60.3614206,5.3677177,restaurant,italian,San Marino pizzeria,Mo-Su 13:00-23:00,yes,no
60.3835281,5.3124247,restaurant,,Damsgårdstuene Spisested,Mo-We off; Th 15:00-20:00; Fr-Sa off; Su 15:00-20:00,,
60.3907692,5.3190947,restaurant,thai,Thai Away,Tu-Fr 12:00-22:00; Sa-Su 14:00-22:00,,
60.3911348,5.3206787,restaurant,,Naboen,Mo-Th 16:00-01:30; Fr-Sa 16:00-02:30; Su 16:00-01:30,,
60.3768825,5.3394715,restaurant,pizza,Peppes Pizza,Mo-Th 11:00-22:00; Fr 10:00-23:00; Sa 13:00-23:00; Su 13:00-22:00,yes,yes
60.3880380,5.3258308,restaurant,,Marg & Bein,Mo off; Tu-Su 17:00-22:30,,
60.3964492,5.3247254,restaurant,,Bryggeloftet og Stuene,Mo-Sa 11:00-23:00; Su 13:00-23:30,,
60.4088720,5.3227174,restaurant,pizza,Dolly Dimpels,,,
60.3922615,5.3222561,restaurant,,Bocca,Mo-Tu 11:00-02:00; We-Sa 11:00-03:30; Su 12:00-02:00,,
60.3906717,5.3215451,restaurant,,SUMO,Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 14:00-22:00,,
60.3954472,5.3272593,restaurant,sushi,Red Sun,Mo-Fr 15:00-23:00; Sa 14:00-00:00; Su 16:00-23:00,,
60.3897360,5.3227774,restaurant,,Cyclo,"Mo-Th 15:00-21:00; Fr,Sa 14:00-22:00; Su 15:00-21:00",,
