@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
39.5866601,19.9139534,restaurant,,Ninos Restaurant,,,
39.5822971,19.9134538,restaurant,,Taverne Alkinos,,,
39.6270670,19.9255129,restaurant,,Εν πλω,,,
39.6216522,19.9227405,restaurant,,,,,
39.6219100,19.9227669,restaurant,,,,,
39.6212410,19.9228665,restaurant,,,,,
39.6273211,19.9149379,restaurant,,Stathis,,,
39.6392903,19.9237476,restaurant,,Menios Taverna,,,
39.6242585,19.9285626,restaurant,,,,,
39.6231211,19.9284857,restaurant,greek;regional,Παλαιό Φρούριο,,,
39.6208336,19.9246019,restaurant,,Beach Bar,,,
39.6270691,19.9252410,restaurant,,Faliraki,,,
39.6251754,19.9209189,restaurant,,Bellissimo,,,
39.5907722,19.9178804,restaurant,greek,FLISVOS RESTAURANT,,,
39.5925094,19.9177714,restaurant,greek,Captain George,Mo-Su 12:00-24:00,,
39.6243169,19.9236460,restaurant,,REX,,,
39.6231290,19.9234060,restaurant,greek,Pig Masseria,,,
39.6138937,19.9109783,restaurant,,Gyroperasma Souvlaki,,,
39.6108671,19.9231772,restaurant,fish;regional;greek;seafood;mediterranean;local,TA PSARAKIA TSI GARITSAS,Mo-Su 12:30-00:30,,
39.6230094,19.9187960,restaurant,seafood,,,,
39.6273461,19.9232544,restaurant,,Veranda,,,
39.6106250,19.9238003,restaurant,,Alexakis,,,
39.6272169,19.9232716,restaurant,,Mouragia,,,
39.6257311,19.9194456,restaurant,greek,Πιτονοστιμιές,Mo-Su 09:00-01:00,,
39.5793879,19.9130309,restaurant,greek;german;mediterranean,"Restaurant ""Zeffiros""",,,
39.6108191,19.9226949,restaurant,seafood;greek;grill,,,,
39.6248426,19.9229251,restaurant,,,,,
39.6267225,19.9217718,restaurant,,,,,
39.6227003,19.9192667,restaurant,greek,Tavernas Rouvas,,yes,yes
39.6242498,19.9220335,restaurant,greek,Tabepna nino,,,
39.6265474,19.9206356,restaurant,,,,,
39.6244749,19.9191646,restaurant,,abakas mezedopoleio,,,
39.6214584,19.9167737,restaurant,,Μέριανος,,,
39.6158824,19.9122371,restaurant,,,,,
39.5831139,19.9150510,restaurant,,,,,
39.6221655,19.9175997,restaurant,kebab,Souvlike,,,
39.6224612,19.9170809,restaurant,Παραδοσιακές_Πίτες/traditional_Greek_Pies,Ο Θεσσαλονικιός,,,
39.6154686,19.8944380,restaurant,greek;barbecue,,Mo-Su 12:30-00:30,,
39.6247183,19.9225927,restaurant,greek;international;ice_cream;barbecue;coffee_shop,Piperitsa,,,
39.6256026,19.9092124,restaurant,,,,,
39.6256425,19.9193863,restaurant,,,,,
39.6237701,19.9204235,restaurant,greek,Elia Homemade Greek Cuisine,,,
39.6247373,19.9237993,restaurant,,,,,
39.6249410,19.9188522,restaurant,,Marinas Tavern,,,
39.6258730,19.9197133,restaurant,,,,,
39.6257805,19.9196555,restaurant,,,,,
39.6261375,19.9201473,restaurant,,,,,
39.6232116,19.9225761,restaurant,italian,Nolita,,,
39.6233923,19.9225627,restaurant,greek,Olive tree,,,
39.6298837,19.8950893,restaurant,,Mylos,,,
39.6232253,19.9234033,restaurant,,,,,
39.6220114,19.9226092,restaurant,,,,,
39.6251026,19.9237984,restaurant,,,,,
39.6252453,19.9196865,restaurant,,Safran Mediterranean,,,
39.6249141,19.9220476,restaurant,,Anthos,,,
39.6238213,19.9206564,restaurant,,Ταβέρνα Ψησταριά Το Δίπορτο,,,
39.6254102,19.9239173,restaurant,,Aubergine,,yes,
39.6225919,19.9226489,restaurant,,,,,
39.6235084,19.9197390,restaurant,burger;chicken;coffee_shop;diner;fine_dining;fish;fish_and_chips,Megusto,Mo-Su 11:00-23:00,,
39.6252543,19.9114314,restaurant,italian_pizza,Pizza Naos,Th-Tu 18:00-00:00,,
39.6217161,19.9121291,restaurant,,,,,
39.6245543,19.9238635,restaurant,greek,,,,
39.6260970,19.9209285,restaurant,,,,,
39.6214411,19.9237015,restaurant,italian,,,,
39.6252959,19.9210858,restaurant,,,,,
39.6299552,19.8955843,restaurant,,,,,
39.6285857,19.9003431,restaurant,,,,,
39.6239404,19.9195811,restaurant,,,,,
39.6239425,19.9198307,restaurant,,,,,
39.6036159,19.8948476,restaurant,italian_pizza,,,,
39.6262136,19.9197064,restaurant,,,,,
