@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
50.0522822,19.9401857,restaurant,,Chlopskie Jadlo,,,
50.0619534,19.9343435,restaurant,local,Restauracja Cechowa,,,
50.0618232,19.9344567,restaurant,italian,Trattoria Soprano,Mo-Su 12:00-22:00,,
50.0628860,19.9350803,restaurant,local,Poezja Smaku,,,
50.0631354,19.9357477,restaurant,international,Restauracja Pino,"Su-Th 11:00-23:00, Fr-Sa 11:00-00:00",,
50.0637051,19.9363771,restaurant,regional,Morskie Oko,Mo-Su 12:00-24:00,,
50.0640638,19.9361774,restaurant,local,Hulajdusza,,,
50.0631803,19.9361590,restaurant,,Trzy rybki,Mo-Su 09:00-23:00,,
50.0626642,19.9363010,restaurant,,Tetmajerowska,,,
50.0626523,19.9364190,restaurant,,Hawełka,,,
50.0626774,19.9365524,restaurant,,Europejska,"PH,Mo-Su 10:00-24:00",yes,
50.0612216,19.9355431,restaurant,,La grande mamma,"Mo-Su,PH 12:00-23:00",,
50.0610392,19.9362112,restaurant,international;mexican,Sioux Classic,,,
50.0610080,19.9363004,restaurant,pizza,Dominium Pizza,,,
50.0608045,19.9369180,restaurant,local;international,Weltz,,,
50.0607686,19.9369673,restaurant,japanese,Miyako Sushi,,,
50.0606131,19.9372038,restaurant,italian,Ristorante Da Pietro,,,
50.0603841,19.9374073,restaurant,local,Wierzynek,Mo-Su 13:00-23:00,,
50.0602964,19.9374734,restaurant,local,Piwnica Pod Wierzynkiem,Mo-Su 13:00-23:00,,
50.0606611,19.9380980,restaurant,local,Wesele,"Mo-We 17:00-23:00; Th 13:00-23:00; Fr,Sa 12:00-23:00; Su 12:00-22:00",,
50.0611479,19.9384282,restaurant,international,Szara,,yes,
50.0614058,19.9387730,restaurant,american,Hard Rock Cafe,,,
50.0611418,19.9390342,restaurant,georgian,Gruzińskie Chaczapuri,"Su-Th 12:00-23:00, Fr,Sa 12:00-24:00",yes,
50.0622651,19.9388086,restaurant,,The Piano Rouge,Mo-Su 09:30+,,
50.0623295,19.9386274,restaurant,,Pod Białym Orłem,,,
50.0623866,19.9384767,restaurant,polish,Staropolska,,,
50.0624499,19.9383535,restaurant,,Pod Słońcem,Mo-Su 08:00-24:00,,
50.0624649,19.9381975,restaurant,,Restauracja Bonerowska,,,
50.0625781,19.9378302,restaurant,,Restauracja Loża - Klub Aktora,,,
50.0627314,19.9376145,restaurant,local,Pod Krzyżykiem,,,
50.0627653,19.9372951,restaurant,italian,Redolfi,,,
50.0622619,19.9354070,restaurant,local;mediterranean,Moliere,,,
50.0628083,19.9340609,restaurant,local,Pijalnia Wódki i Piwa,24/7,,
50.0617473,19.9348391,restaurant,local;regional;polish,Chimera,Mo-Su 12:00-23:00,yes,
50.0629815,19.9371895,restaurant,,La Fontaine,,,
50.0636989,19.9373271,restaurant,,Figa z Makiem,,,
50.0638294,19.9374865,restaurant,,Vinoteka La Bodega,,,
50.0647186,19.9381470,restaurant,pancake;polish,Domowe Przysmaki,Mo-Su 10:00-22:00,,
50.0649820,19.9383529,restaurant,regional;french,Cyrano de Bergerac,Mo-Su 12:00-23:00,,
50.0644353,19.9408941,restaurant,pizza,Vesuvio,,,
50.0640085,19.9405584,restaurant,,Piwnica Pod Złotą Pipą,,,
50.0637317,19.9403963,restaurant,italian,Tarttorii Degusti,"Mo-Su 12:00-22:00; Fr,Sa 12:00-23:00",,
50.0630658,19.9402457,restaurant,regional,Pierogarnia Krakowiacy,,,
50.0627355,19.9395820,restaurant,italian,Sycylia,,,
50.0629399,19.9385236,restaurant,regional,Chłopskie Jadło,"Su-Th 10:00-22:00, Fr,Sa 10:00-23:00",,
50.0636809,19.9388220,restaurant,,Baroque Wódka & Food,,,
50.0643288,19.9393364,restaurant,,"Jadłodajnia ""U Tomasza""",,,
50.0645695,19.9394011,restaurant,local,Polskie Jadło,,,
50.0640516,19.9393770,restaurant,,Farina,Mo-Su 12:00-23:00,,
50.0649554,19.9392162,restaurant,regional,Restauracja Galicyjska,Mo-Su 12:00-23:00,,
50.0396615,20.0256446,restaurant,,Grill Bar 'U Biny',,,
50.0908603,20.0184947,restaurant,pizza;italian,Good Pizza,12:00-23:00,,
