@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
53.2884983,-6.2057489,restaurant,indian,Indian Summer,,,
53.2964858,-6.2112453,restaurant,,Union Cafe,,,
53.3909742,-6.0711431,restaurant,seafood,Oar House,,,
53.3457840,-6.2619240,restaurant,italian,La Gondola,,,
53.3457661,-6.2611706,restaurant,,Gogarty's,,,
53.3456141,-6.2610506,restaurant,,Thunder Road Cafe,,,
53.3510617,-6.2604240,restaurant,pizza,La Pizza,,,
53.2939748,-6.3002428,restaurant,chinese,Chrysanthemum Chinese Restaurant,,,
53.3431331,-6.2635937,restaurant,japanese,Ukiyo Bar,,,
53.3420622,-6.2640639,restaurant,tapas,The Market Bar,"Mo-Th 12:00-23:30, Fr-Sa 12:00-01:30, Su 12:00-23:00",,
53.3412533,-6.2617983,restaurant,,Saba,,,
53.3365613,-6.2516856,restaurant,thai,Diep Le Shaker,"Tu-Th 12:00-14:30, 17:00-22:00, Fr 12:00-16:30, 17:00-23:00, Sa 17:00-23:00",,
53.3855392,-6.3745776,restaurant,thai,Thai Garden,,,
53.3405891,-6.2573068,restaurant,,One Pico,"Mo-Sa 12:00-14:45, 17:30-22:00, Su 12:30-16:00, 17:00-20:00",,
53.3483367,-6.2770807,restaurant,,Christophe's,,,
53.3470353,-6.2378335,restaurant,,The Boat Bar & Restaurant,,,
53.3402489,-6.2626430,restaurant,asian,Wagamama,Mo-Su 12:00-22:00,yes,yes
53.3442968,-6.2662783,restaurant,italian_pizza,Forno 500,,,
53.3431285,-6.2634071,restaurant,,Fallon & Byrne,,yes,yes
53.3422837,-6.2629190,restaurant,,La Maison,,,
53.3419302,-6.2643415,restaurant,french,L'Gueuleton,"Mo-Sa 12:30-15:30,17:30-10:00, Su 12:00-15:30,17:30-09:00",,
53.3396287,-6.2561537,restaurant,,Town Bar and Grill,,,
53.2816189,-6.3401918,restaurant,chinese,China House,,,
53.3607860,-6.1829271,restaurant,pakistani,Kinara,,,
53.3334254,-6.2481124,restaurant,french,La Peniche,,,
53.3228696,-6.2384848,restaurant,,Decemberfest,,,
53.3463913,-6.2651705,restaurant,italian,Wallace's Taverna,"Mo-Sa 12:30-22:30, Su 12:30-22:00",,
53.3866771,-6.1474779,restaurant,,Il Fornaio,,,
53.3397878,-6.2595200,restaurant,,Il Posto,,,
53.2780787,-6.2107338,restaurant,chinese,China Sichuan,"Tu-Fr 12:00-14:30,17:00-22:00; Sa,PH 17:00-22:00; Su 12:00-21:00",,
53.2763437,-6.2206135,restaurant,,My Thai,,,
53.3561303,-6.4483421,restaurant,indian,Kasturi,,,
53.3553926,-6.4604099,restaurant,,Annadale Cottage - Chinese Restaurant,,,
53.3560074,-6.4482391,restaurant,asian,Chang's Asian Cuisine,,,
53.3456973,-6.2621275,restaurant,,Gallaghers Boxty House,,,
53.3433117,-6.2641995,restaurant,japanese,Yamamori Izakaya,Mo-Su 17:30-03:00,yes,
53.3435983,-6.2641941,restaurant,mexican,Acapulco,,,
53.3257334,-6.2554889,restaurant,indian,Punjab Balti,,,
53.3262746,-6.2560478,restaurant,italian,Pinocchio,,,
53.3191739,-6.2647547,restaurant,chinese,Zen (Closed),Mo-Su 12:30-23:00,,
53.3451971,-6.2659945,restaurant,,Falafel and Kebab;Falafel,,,
53.3448713,-6.2651292,restaurant,italian,Al Vesuvio,Mo-Th 16:00-22:00; Fr 13:00-17:00; Su 13:00-22:00,yes,
53.3839785,-6.3678409,restaurant,indian,Poppadom,,,
53.3373890,-6.2516860,restaurant,,FXB Steakhouse,,,
53.3348107,-6.2545351,restaurant,,Dax,,,
53.3362290,-6.2486245,restaurant,,L'Ecrivain,,,
53.3372644,-6.2393230,restaurant,,The Schoolhouse,"Mo-Fr 09:00-24:00, Sa,Su 11:00-17:00",,
53.3294409,-6.2322092,restaurant,,Roly's,,,
53.3302062,-6.2320857,restaurant,french,The French Paradox,,,
