@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
54.3553402,18.6464756,restaurant,italian,Lezzetli,,,
54.3594975,18.5789372,restaurant,pizza,Krokodyl,Su-Th 11:00-22:00;Fr-Sa 11:00-23:00,,
54.3481774,18.6536219,restaurant,russian,Kuchnia Rosyjska,,,
54.3475343,18.6552815,restaurant,local,Tawerna,,,
54.3475078,18.6570156,restaurant,asian,Yang Guang,,,
54.3482990,18.6547493,restaurant,,Latający Holender,,,
54.3482663,18.6549172,restaurant,international,Sphinx,,,
54.3488448,18.6562173,restaurant,pizza,Restauracja Republika,,,
54.4425782,18.5520340,restaurant,,Harnaś,Mo-Fr 12:00-21:00; Sa 11:00-22:00; Su 11:00-21:00,,
54.3498300,18.6505534,restaurant,,La Famiglia Pizza,,,
54.3484972,18.6526923,restaurant,regional,Kaszubska Marina,Mo-Su 12:00-23:00,,
54.3486517,18.6520239,restaurant,,Santorini,,,
54.3514722,18.6485164,restaurant,,Zimne Nóżki,Su-Th 15:00-03:00; Fr-Sa 15:00-05:00,,
54.3500624,18.6514614,restaurant,italian,i Pizza,,,
54.3492296,18.6508272,restaurant,italian,Pizzeria Napoli,,,
54.3487577,18.6546628,restaurant,,U Szkota,,,
54.3483271,18.6545627,restaurant,,Pod Rybą,,,
54.3488973,18.6523489,restaurant,,Pod Jaszczurem,,,
54.3377126,18.6077900,restaurant,,Pasibrzuch,,,
54.3507255,18.6588090,restaurant,,Tawerna Ołowianka,,,
54.3496064,18.6568948,restaurant,,Baryłka,,,
54.5192664,18.5567835,restaurant,fish_and_chips,Restauracja Kuter GDY-50,,,
54.3791240,18.6072391,restaurant,,Tutam,,,
54.3529989,18.6473833,restaurant,,Lokomotywa,,,
54.4370254,18.5802060,restaurant,fish,Bar Przystań,Mo-Su 11:00-23:00,,
54.5056644,18.5558366,restaurant,fish,Barracuda,12:00-24:00,,
54.5196383,18.5452495,restaurant,italian;regional,,Mo-Fr 09:00-22:00; Sa 09:00-23:00; Su 12:00-20:00,,
54.3751270,18.6159243,restaurant,italian,Da Mario,Mo-Su 12:00-24:00,,
54.3519091,18.6506970,restaurant,,Da Grasso,,,
54.3483504,18.6479417,restaurant,,Harcówka,Mo-Su 08:00-19:00,,
54.3406781,18.6197787,restaurant,pizza,Tino,,,
54.3519100,18.6507545,restaurant,regional;polish,Zielony Smok,,,
54.3793645,18.6317967,restaurant,pizza,LUCA,,,
54.4183013,18.5666280,restaurant,"burger,pizza,regional",Bistro Pobite Gary,Mo-Su 09:00-22:00,,
54.4183206,18.5670977,restaurant,ramen;sushi;asian,Ping Pong ramen & sushi,Mo-Th 12:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00,,
54.3536277,18.6589625,restaurant,polish,Restauracja Kubicki,,,
54.3524940,18.6578576,restaurant,,Tawerna Dominikańska,Mo-Su 12:00-24:00,,
54.5142191,18.5404833,restaurant,greek,Santorini,,,
54.5154426,18.5387016,restaurant,mexican,Pueblo,Mo-Su 12:00-23:00,,
54.3239596,18.6192889,restaurant,pizza,drewnem palona,,,
54.3765672,18.6172018,restaurant,regional,Zielona Papuga,,,
54.3732343,18.7297158,restaurant,regional;fish_and_chips,"Restauracja ""Plaża Stogi""",,,
54.5093441,18.5395550,restaurant,pizza,Anker,Mo-Fr 07:30-22:00; Sa-Su 09:00-22:00,,
54.5113501,18.5380084,restaurant,polish,W Ogrodach,"Mo-Fr 11:00-24:00; Sa 13:00-24:00, Su 13:00-21:00",,
54.5125692,18.5381277,restaurant,indian,Taj Mahal,,,
54.5151533,18.5386609,restaurant,polish,"Bar Mleczny ""Słoneczny""",Mo-Fr 06:30-19:00; Sa 09:00-16:00,,
54.5142492,18.5384738,restaurant,slow_food,BioWay,,,
54.4796816,18.5557543,restaurant,italian,Willa Lubicz,,,
54.4776811,18.5543483,restaurant,polish,Restauracja Britannica Steakhouse,07:00-23:00,,
54.5186330,18.5486515,restaurant,seafood,Chata Rybaka,,,
54.5051731,18.5540705,restaurant,regional,Morskie Oko,,,
54.4407385,18.5596316,restaurant,,Parasolnik,,,
54.3486621,18.6532605,restaurant,,Piwnica Rajców,,,
54.3508434,18.6495993,restaurant,mexican,Restauracja Pueblo Gdańsk,Mo-Sa 12:00-23:00,,
54.3500166,18.6515695,restaurant,mexican;spanish;tapas,Hola Tapas,Su-Th 11:00-00:00; Fr-Sa 11:00-03:00,,
54.3775886,18.6069796,restaurant,international,Sphinx,Mo-Sa 09:00-21:00; Su 10:00-20:00,,
54.3475268,18.6565361,restaurant,regional,Miasto Aniołów,Mo-Th 12:00-22:00; Fr-Sa 12:00-05:00; Su 12:00-22:00,,
54.3608126,18.6393327,restaurant,,Gospoda,,,
54.4434345,18.5630626,restaurant,thai,Panaya Thai,,,
54.4435851,18.5646332,restaurant,regional,Chata Smakosza,Mo-Th 11:00-22:00; Fr 11:00-23:00; Sa 10:00-23:00; Su 10:00-22:00,,
54.4439189,18.5653010,restaurant,italian,Pinokio,,,
54.4438826,18.5664982,restaurant,european,Śliwka w Kompot,Mo-Su 11:00-21:00,,
54.4437778,18.5661309,restaurant,steak_house,Crudo,Mo-Su 13:00-23:00,,
54.4590670,18.5563467,restaurant,,Hotel Villa Aqua,,,
54.3483642,18.6491967,restaurant,,Kresowa,,,
54.3451534,18.6630894,restaurant,international;polish,Jazz Food Bistro Band,Mo-Sa 08:00-18:00,,
54.3730978,18.5172299,restaurant,,IKEA,Mo-Sa 09:00-21:00; Su 09:00-20:00,,
54.5085785,18.5520525,restaurant,french,Hotel Różany Gaj,,,
54.5158531,18.5411995,restaurant,american,Tom's Diner,"Mo-Su 12:00-22:00; Fr,Sa 12:00-23:00",,
54.4422825,18.5602507,restaurant,italian,Donna Marzia Cucina Toscana,Mo-Su 13:00-23:00,,
54.3716739,18.6120834,restaurant,,Pasibrzuch,,,
54.5430096,18.5450237,restaurant,,Tawerna pod Kordem,,,
54.3303445,18.6267641,restaurant,pizza,Pizzeria Leone,,,
54.4500154,18.5671431,restaurant,,Nowa Zatoka,Mo-Su 08:00-20:00,,
54.4026622,18.5709405,restaurant,,Lobster,"Mo-Th 08:00-20:00; Fr 08:00-22:00, Sa 12:00-22:00, Su 12:00-18:00",,
54.3518463,18.6511535,restaurant,,Grass,,,
54.4594820,18.5573428,restaurant,,Pick&Roll Club,Tu-Th 14:00-22:00; Fr 14:00-24:00; Sa 12:00-24:00; Su 12:00-23:00,,
54.5255192,18.5447464,restaurant,italian;regional,Restauracja Bucatti Hotton Hotel,Mo-Su 14:00-22:00,,
