@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
47.2456057,11.4320248,restaurant,regional,Jausenstation Vogelhütte,,,
47.2569021,11.3963355,restaurant,pizza,Il Campo,,,
47.2567816,11.3963625,restaurant,noodle,Nudlkuchl,"Mo-Th 11:30-23:00, Fr 11:30-01:00, Sa 14:00-01:00, Su 14:00-23:00",,
47.2570452,11.3969100,restaurant,japanese,Bamboo,,,
47.2656426,11.3895022,restaurant,syrian,Marrusch,"Su-Fr 09:00-24:00, Sa 12:00-22:00",yes,yes
47.2650472,11.3949630,restaurant,chinese,China Restaurant Canton,"Mo-Sa 11:30-14:30,17:30-22:00",,
47.2672225,11.3994928,restaurant,italian,Pizzaria Palermo,Mo-Su 10:00-21:00,,
47.2661487,11.3947948,restaurant,,Kostbar,Mo-Fr 09:00-18:00,only,
47.2668556,11.4019618,restaurant,pizza,Pizzeria Leone,Mo-Su 11:00-23:00,,
47.2673183,11.4020899,restaurant,burger,Road Diner,Su-Th 17:00-23:00; Fr-Sa 17:00-03:00,,
47.2794955,11.4037114,restaurant,international,Innsbruckerhof,,,
47.2683628,11.3947996,restaurant,regional,Stiftskeller,"Mo-Su, PH 10:00-24:00",,
47.2639939,11.4243323,restaurant,,Martin,,,
47.2725746,11.3928918,restaurant,indian,Rama,"Mo-Su 11:30-14:30, 17:30-23:00",,
47.2709909,11.3916017,restaurant,kebab;turkish,Mis Kebap & Döner,,,
47.2691115,11.3896643,restaurant,international,Gaia Cuisine,Tu-Sa 17:00-23:00,,
47.2555189,11.3974360,restaurant,regional,Stadtgasthaus Haymon,Mo-Su 10:00-22:00,,
47.2697326,11.3992058,restaurant,pizza;pasta,Il Dottore,Tu-Su 10:00-24:00; PH off,,
47.2698348,11.3993235,restaurant,thai,Noi Thai Food,"Mo-Fr 11:30-14:30,18:00-23:00; Sa 18:00-23:00; PH off",,
47.2580476,11.3713087,restaurant,,Kantine,"Mo-Fr 08:00-23:00; Sa,Su,PH 15:00+",,
47.2702008,11.3594866,restaurant,regional,Berchtoldshof,"We,Th 16:00-23:00; Fr,Sa 11:00-23:00; Su 11:00-21:30",,
47.2640918,11.3919053,restaurant,italian,Sapori,"Tu-Sa 11:30-14:00, 18:00-23:00",,
47.2833172,11.4124027,restaurant,italian,Rosengarten,"Mo-Sa 11:30-14:30,17:30-24:00",,
47.2685252,11.3896373,restaurant,regional,Schwarzer Bär,,,
47.2666356,11.4009897,restaurant,regional;pizza;steak;pasta;salad,Kaiserstube,Mo-Su 19:00-04:00,,
47.2621172,11.3896009,restaurant,asian,Oishi,"Mo-Fr 11:30-14:30, 18:00-21:30; Sa 18:00-21:30; Jun-Aug Sa off; PH off",,
47.2633254,11.3967450,restaurant,regional,Stiegl Bräu,Mo-We 10:00-01:00; Th-Sa 10:00-02:00; PH off,yes,no
47.2679144,11.3948776,restaurant,italian,Il Convento,"Mo-Sa 11:00-15:00,17:00-24:00; PH off",,
47.2664880,11.3942399,restaurant,sushi;asian,Sensei,"Mo-Sa 12:00-14:00, 18:00-22:00; PH off",,
47.2654607,11.3896933,restaurant,asian,Teppan Wok,"Tu-Sa 11:30-15:00, 18:00-23:00; Su 11:30-14:30, 18:00-22:30",,
47.2688812,11.3993171,restaurant,indian,Sahib,"Mo-Su 11:30-15:00, 18:00-24:00",,
47.2630436,11.3946200,restaurant,italian,Il Gusto da Leonardo,Mo-Fr 09:30-19:00; Sa 09:30-18:00; PH off,,
47.2692355,11.3928050,restaurant,japanese;korean,Woosabi,"PH,Mo-Sa 11:30-14:30,18:00-23:00; Su off",yes,yes
47.2677404,11.3918818,restaurant,regional;burger;steak;barbecue,FloJos,Mo-Su 10:00-02:00,,
47.2684592,11.3919829,restaurant,regional,Ottoburg,"Mo-Su 12:00-15:00, 18:00-24:00",,
47.2652240,11.3860802,restaurant,regional,Neue Mensa,Mo-Fr 11:00-14:00; PH off,,
47.2647151,11.3881085,restaurant,pizza;pasta,Salute,Tu-Su 11:00-00:00,,
47.2740513,11.4291370,restaurant,regional,Sandwirt am Inn,Mo-Su 10:00-23:00,,
47.2645370,11.3917623,restaurant,regional,Anich,Mo-Sa 09:00-23:00; PH off,,
47.2604673,11.3901946,restaurant,jamaican;seafood,Cool Run Inn,"Di-Sa 14:00 - 02:00 Uhr, So,Mo-Ruhetag",,
47.2616025,11.3927652,restaurant,,Glasmalerei,Mo-Fr 10:30-01:00,,
47.2614896,11.3923192,restaurant,italian,Gusto Pizzeria,"Mo-Fr 10:00-14:30,17:00-22:00; Su 17:00-22:00; PH off",,
47.2614178,11.3933144,restaurant,indian,Madhuban,"Mo-Fr 11:30-14:00,18:30-22:00; Sa,Su 18:30-22:00; PH off",,
47.2651288,11.4142097,restaurant,regional;austrian,Tiroler Weinstube,"Mo-Fr, Su 09:00-00:00",,
47.2692800,11.4063859,restaurant,,Arabisk,,,
47.2658138,11.3923189,restaurant,thai,Thai Li Ba,Mo-Sa 09:00-00:00,,
47.2673941,11.3916760,restaurant,thai,Thai Li,"Tu-Sa 11:30-14:30, Tu-Su 18:00-23:00",,
47.2705590,11.3943153,restaurant,,Orangerie,,,
47.2645926,11.3978503,restaurant,italian;pizza;pasta,Die Pizzerei,"Mo-Sa 11:30-14:00,17:30-01:00, Su 11:30-14:00,17:30-23:00; PH off",,
47.2808994,11.3982349,restaurant,,Weiherburg,,,
47.2649825,11.3880199,restaurant,greek,Posidonas,Tu-Su 11:00-24:00; Mo off,,
47.2600528,11.3962138,restaurant,regional,Steneck,Mo-Fr 11:00+; PH off,,
47.2686453,11.3935956,restaurant,regional,Gasthaus Goldenes Dachl,07:30-24:00,,
47.2681023,11.3943726,restaurant,regional,Dengg,Mo-Fr 10:00-23:00,,
47.2671931,11.4017565,restaurant,,Lavendel,Mo-Fr 07:30-19:00; Sa 07:30-14:00; PH off,,
47.2675147,11.3915352,restaurant,italian,Solo per te,Mo-Su 11:00-23:00,,
47.2638103,11.3949548,restaurant,regional,Breakfast Club,Mo-Su 07:30-16:00,,
47.2649742,11.3926082,restaurant,nepalese,momoness,,,
47.2639315,11.3951186,restaurant,pizza,Pizza Crocodiles,Mo-Sa 11:00-23:00; PH off,,
47.2790199,11.3893985,restaurant,,Gasthof Ölberg,We-Tu 07:30-23:00,,
47.2634579,11.3995885,restaurant,kebab,Insieme,"Mo-Fr 10:00-22:00; PH,Sa,Su 11:00-22:00",,
47.2675723,11.3926487,restaurant,regional,Altstadt Schmankerl,Mo-Fr 09:00-01:00; Sa 09:00-17:00,,
47.2675006,11.3926991,restaurant,pasta,La Pausa,"Tu-Sa 11:30-14:30,18:00-22:00; Su 11:30-14:30; PH closed """"",,
47.2751495,11.4085140,restaurant,,Il Corvo,"We 15:00-22:00; Th,Su 12:00-22:00; Fr-Sa 12:00-23:00",,
47.2734639,11.4130939,restaurant,international,Das Ahorn,"10:00-22:00, We off",yes,
47.2668474,11.3845238,restaurant,pizza,Don Peppe,"Tu-Su 11:00-15:00,17:00-23:00",,
47.2672243,11.3858859,restaurant,asian;japanese,Fuji,,,
47.2661936,11.3841497,restaurant,arabic,Alia's,,,
47.2695402,11.3906119,restaurant,nepalese,Everest Inn,,,
47.2723777,11.3924808,restaurant,regional,Sandwirt,,,
47.2654204,11.3787718,restaurant,regional,Gasthof Tengler,,,
47.2658199,11.3806043,restaurant,burger,Smash n' Go,"Tu-Su 11:30-14:00,17:00-21:30; Mo closed",yes,no
47.2684023,11.3878662,restaurant,asian;chinese,Bamboo,,,
47.2697647,11.3907899,restaurant,indian,Shere Punjab,"Mo-Su 12:00-14:30,17:30-22:00",,
47.2572343,11.3901629,restaurant,pizza;italian;pasta,Pizzeria Maurizio,Mo-Fr 10:00-24:00; Sa 10:00-01:00; PH off,,
47.2574048,11.3919777,restaurant,afghan,Ariana,"Mo-Th 11:30-14:30,18:00-22:00; Fr 11:30-14:30,18:00-22:30; Sa,PH 18:00-22:30",,
47.2584791,11.3945545,restaurant,italian;pizza,Da Niro,"Mo-Fr 10:00-14:00,17:00-22:00; Sa-Su 10:00-22:00",,
47.2679453,11.3927650,restaurant,chinese,Lotus,"Mo-Sa 12:00-14:30,18:00-22:00",,
47.2682515,11.3930429,restaurant,regional,Weinhaus Happ,07:00-23:00,,
47.2656310,11.3944112,restaurant,,Das Schindler,Mo-Sa 08:00-24:00,,
47.2754704,11.4219561,restaurant,pizza;italian,Ristorante Luna Rossa,"Mo, Th-Sa 11:00-14:00, 17:00-22:00; Su 11:00-22:00",,
47.2632060,11.3843387,restaurant,regional,Mensa Uni Atrium,,,
47.2697677,11.3989002,restaurant,regional,Mensa SoWi-Lounge,Mo-Th 07:30-18:00; Fr 07:30-15:00,,
47.2683016,11.3922078,restaurant,pizza;italian;pasta,Mamma Mia,,,
47.2646452,11.4401739,restaurant,international,Schlemmerei 2.0,Mo-Th 08:00-20:00; Fr 08:00-17:00; PH off,,
47.2624831,11.4335585,restaurant,italian,Vapiano,Mo-Su 11:00-23:00,,
47.2790786,11.3977494,restaurant,,N°8,,,
47.2583095,11.4063564,restaurant,asian,Haikky,"Mo-Su, PH 11:00-22:00",,
47.2646586,11.4385153,restaurant,,Eden,,,
47.2506697,11.4015841,restaurant,regional,Restaurant 1809 am Bergisel,We-Mo 10:00-18:00,,
47.2591517,11.4060745,restaurant,,Am Tivoli,,,
47.2667333,11.3983878,restaurant,pizza;pasta;steak,Aui's,"Mo-Su, PH 10:00-01:00; Jun-Aug: Su off",,
47.2658238,11.3945831,restaurant,italian,la Cantina - intermezzo italiano,Mo-Fr 07:00-22:00; Sa 09:00-17:00,,
47.2552697,11.3687834,restaurant,pizza,Ristorante Pizzeria da Enzo e Marion,"PH,We-Su 11:30-23:00; Mo-Tu off",,
47.2697456,11.3998464,restaurant,asian;thai;japanese;sushi,Victoria Sushi Bar,Mo-Sa 11:30-15:00; Mo-Su 17:30-23:00; Su 11:00-17:30,,
47.2620692,11.3967986,restaurant,regional,Pippilotta,Mo-Th 11:30-21:00; Su 09:00-14:00; PH off,,
47.2661075,11.3937473,restaurant,steak_house,Orangerie,Mo-Su 10:00-02:00,,
47.2581864,11.3871712,restaurant,regional;pizza,Muskete,Mo-Su 11:00-23:00,,
47.2649715,11.4095552,restaurant,chinese;sushi,Chinarestaurant Kaiser,,,
47.2783089,11.3963251,restaurant,,Schöneck,,,
47.2658812,11.4118483,restaurant,,Neupradl,,,
47.2734969,11.4059065,restaurant,,ISHQ,Tu-Su 10:00-22:00,yes,yes
47.2689853,11.3978960,restaurant,nepalese,Himal Nepali Kitchen,"Mo-Sa 11:45-14:30, Mo-Th 18:00-22:00, PH,Su 18:00-22:00",yes,yes
47.2688788,11.3968333,restaurant,pizza,UNA Pizza Napoletana,"Mo-Su 11:30-14:30,17:30-22:00",,
47.2676983,11.3933158,restaurant,,Gemelli,,,
47.2631260,11.3957620,restaurant,pizza,Ristorane Pizzeria Leonardo,Mo-Sa 09:00-23:00; Su 09:00-22:00,,
47.2593689,11.4285064,restaurant,,Gasthof Kapeller,,,
47.2610655,11.4180994,restaurant,pizza,Das Monaco's,,,
47.2595801,11.4205456,restaurant,italian_pizza,milano 2,Mo-Su 10:00-22:00,,
47.2556790,11.3977360,restaurant,italian;pizza;pasta,Neuwirt,"Mo-Fr 11:00-14:00,17:30-22:00; PH,Su 17:00-22:00",,
47.2666729,11.3910160,restaurant,greek,Akropolis,"Mo-Su 11:30-14:30, 17:30-22:30",,
47.2666887,11.3911364,restaurant,asian,Lucky Wok,Mo-Sa 11:00-22:00; Su 12:00-22:00; PH off,,
47.2657616,11.3995395,restaurant,chinese,Paradies,,,
47.2639378,11.3883537,restaurant,italian;pasta,Leo's Ristorante,"Mo-Fr 11:30-14:30,17:00-23:00; Sa 17:00-23:00; PH off",,
47.2623906,11.3927794,restaurant,nepalese,Himalayan,"Mo-Sa 11:30-14:00, 18:00-22:00; Su, PH 18:00-22:00",yes,yes
47.2625147,11.3954774,restaurant,italian;pizza,Ristorante Pizzeria Cafe Bella,10:00-02:00,,
47.2638867,11.3951002,restaurant,,Oniriq,Mo-Sa 18:00-24:00,yes,
47.2638923,11.3955621,restaurant,regional,Breakfast Club,Mo-Su 07:30-16:00,,
47.2690779,11.3892956,restaurant,italian;pizza;pasta,Due Sicilie,"Mo-Fr 17:00-22:30; Sa-Su 12:00-14:00, 17:00-22:30",,
47.2642980,11.3918148,restaurant,italian,Magazzino,Mo-Fr 16:00-23:00; PH off,,
47.2589439,11.3897855,restaurant,chinese,Happy Wok,"Su-Fr 11:30-14:30,17:30+; Sa 17:30+",,
47.2655249,11.3839742,restaurant,japanese,Kai,"Tu-Fr 11:30-14:30,18:00-22:00; Sa,Su 18:00-22:00; PH off",,
47.2666499,11.3923502,restaurant,asian,my indigo,Mo-Sa 11:00-22:00; Su 12:00-21:00,,
47.2659390,11.4013587,restaurant,diner;local,Adlers,Su-Th 07:00-24:00; Fr-Sa 07:00-01:00,,
47.2657280,11.4360940,restaurant,asian,Yun - Asia Restaurant,"Mo-Su 11:00-15:00, 17:00-23:00",,
47.2623486,11.3951277,restaurant,italian,Vapiano Innsbruck 2,Mo-Sa 11:30-22:00; Su 12:00-21:00,,
