@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
51.6020306,-0.1935029,restaurant,,Central Restaurant,,,
51.3980144,-0.1722345,restaurant,indian,Casuarina Tree,,,
51.5257320,-0.4585479,restaurant,chinese,Jin Li,Mo-Su 12:00-23:00,,
51.5110542,-0.1325596,restaurant,taiwan,Old Tree Daiwan Bee,,,
51.3894939,-0.3253646,restaurant,,The Ferry,,,
51.5868564,0.2005327,restaurant,american,The Unicorn,,,
51.4721050,-0.3284018,restaurant,indian,Cinnamon Lounge,,,
51.3719881,-0.1508364,restaurant,,The Grange,,,
51.4983082,-0.3266794,restaurant,american,The Royal,,,
51.4256431,-0.0487489,restaurant,italian,Tratorria Raffaele,,yes,
51.5340961,-0.0560633,restaurant,,Bistrotheque,,,
51.5177880,-0.0656989,restaurant,,Mithai Ghar,,,
51.4753900,-0.1312087,restaurant,portuguese,A toca,,,
51.4872464,-0.1445726,restaurant,indian,Pimilco Spice,,,
51.4177496,-0.1777821,restaurant,,Venus,,,
51.4182745,-0.1782663,restaurant,italian,Corleone,,,
51.4136144,-0.1780875,restaurant,chicken;portuguese,Nando's,,,
51.4651993,-0.1291139,restaurant,pizza,Alba,,,
51.4629835,-0.1239279,restaurant,pizza,Ferndales,We-Su 18:00-22:00,,
51.4992102,-0.1378188,restaurant,italian,Bon Gusto,,,
51.4986304,-0.1372558,restaurant,,Bank Restaurant & Bar,,,
51.5186204,-0.1214512,restaurant,,Spaghetti House,,,
51.4427534,-0.1667732,restaurant,italian,Pizza Express,,,
51.5896604,-0.1055470,restaurant,Mauritian,Le Chamarel,,,
51.4622646,-0.4275002,restaurant,indian,The Duke of Wellington,Mo-Su 12:00-23:00,,
51.5051660,-0.1165376,restaurant,dimsum,Ping Pong,,,
51.5055251,-0.1176917,restaurant,brazilian,Las Iguanas,,,
51.3582971,-0.1451088,restaurant,grill,Hotrocks,,,
51.5366022,-0.0789765,restaurant,,Waterhouse,,,
51.4626070,-0.1378996,restaurant,,Gastro,,,
51.4631322,-0.1405744,restaurant,,No. 32 The Old Town,09:00 - 23:00,,
51.6178616,-0.3110722,restaurant,chicken;portuguese,Nando's,,,
51.3758148,-0.4091350,restaurant,,,,,
51.3680652,-0.3965782,restaurant,,,,,
51.5796288,-0.1230838,restaurant,,Paesan,,,
51.4936183,-0.2403478,restaurant,pizza,Pizza Hut,,,
51.5101159,-0.0394594,restaurant,italian,La Figa,"Mo-Sa 12:00-23:00, Sa 13:00-23:00, Su 13:00-22:30",,
51.5100931,-0.0387865,restaurant,,Natak,,,
51.4884009,-0.1374885,restaurant,tapas,Goya,,,
51.5127342,-0.1414857,restaurant,,Sketch,,,
51.5282100,-0.0509194,restaurant,,The Full Monty,,,
51.4808939,-0.1248300,restaurant,brazilian,Tia Maria Bar & Kitchen,,,
51.5203402,-0.0525884,restaurant,chinese,China Ark,,,
51.5032228,-0.0596251,restaurant,italian,Il Pirata London,,,
51.5062917,-0.1170999,restaurant,,Giraffe,Mo-Th 08:00-23:00;Fr 08:00-23:30;Sa 09:00-23:30;Su 09:00-22:30,,
51.4888419,-0.1371080,restaurant,pizza,PizzaExpress,,,
51.5056190,-0.0540290,restaurant,,River View Restaurant,,,
51.6017494,-0.1935144,restaurant,,Ahir Lorenzo's,,,
51.5178558,-0.1187798,restaurant,pizza,PizzaExpress,,yes,yes
51.5222995,-0.0446566,restaurant,,Verdi's,,,
51.5271512,-0.0828862,restaurant,chinese,Jabinjia Hotpot,,,
51.4872503,-0.1115497,restaurant,pizza,PizzaExpress,,,
51.4873118,-0.1111439,restaurant,pizza,Pizza Hut,,,
51.5101708,-0.2879784,restaurant,chicken;portuguese,Nando's,,,
51.5416421,-0.1570131,restaurant,,Lemonia,,,
51.4957287,-0.1419336,restaurant,italian,Il Posto,,,
51.4955582,-0.0068108,restaurant,indian,Ananda,"Mo-Fr 12:00-14:30,18:00-23:00; Sa 18:00-23:00; Su 12:00-15:00,18:00-22:00",,
51.5109108,-0.1393146,restaurant,french,Aubaine,,,
51.5717552,-0.1667879,restaurant,regional,The Brew House,Dec-Jan: Mo-Su 09:00-16:00; Feb-Mar: Mo-Su 09:00-17:00; Apr-Sep: Mo-Su 09:00-18:00; Oct-Nov: Mo-Su 09:00-17:00,,
51.4997405,-0.0262040,restaurant,,Clifton Restaurant,,,
51.5131214,-0.1422056,restaurant,steak_house,Goodman,,,
51.5133930,-0.1423314,restaurant,,Pollen Street Social,,,
51.4920195,-0.1400750,restaurant,italian,Uno,,,
51.4861623,-0.0136551,restaurant,thai,Kinkao Thai Restaurant,"Mo-Th 12:00-15:00,17:30-23:00; Fr-Sa 12:00-15:00,17:30-00:00; Su 12:00-23:00",,
51.6306596,-0.1753840,restaurant,lebanese,Maya Lounge,"Su-Th 18:00-01:00, Fr-Sa 18:00-02:00",,
51.4614013,-0.1144800,restaurant,,Satay Bar,"Mo-Th 12:00-23:00; Fr 12:00-24:00; Sa 00:00-01:00,13:00-24:00; Su 00:00-01:00,13:00-23:00",,
51.4910700,-0.1351990,restaurant,argentinian,Moo Cantina Pimlico,,,
51.4924729,-0.1399743,restaurant,,About Thyme,,,
51.4889995,-0.1368830,restaurant,indian,Pimlico Tandoori,,,
51.4983961,-0.1664209,restaurant,,Caffe Concerto,,,
51.5149160,-0.0635587,restaurant,,Dilpasand,,,
51.5076256,-0.0711841,restaurant,,Medieval Banquet,,,
51.4833465,-0.1694677,restaurant,,No. Fifty Cheyne,,,
51.5118340,-0.1876332,restaurant,italian,Bella Italia,,,
51.5125046,-0.1874213,restaurant,italian,La Brasserie Italiano,,,
51.5075201,0.0207124,restaurant,,Top 1 Forever,,,
51.5056639,-0.1151021,restaurant,pizza,PizzaExpress,,,
51.5052279,-0.1167364,restaurant,burger,Honest Burgers,Mo-Tu 12:00-21:00; We-Th 12:00-22:00; Fr-Sa 12:00-22:30; Su 12:00-21:30,yes,yes
51.5052961,-0.1169556,restaurant,french,Côte Brasserie,Mo-Fr 09:00-24:00; Sa 10:00-24:00; Su 10:00-22:00,yes,yes
51.5058176,-0.1175880,restaurant,italian,Strada,Mo-We 08:00-23:00; Th-Sa 08:00-24:00; Su 11:30-22:00,,
51.5054491,0.0261464,restaurant,,So! Restaurant Bar,,,
51.4962331,-0.0825069,restaurant,chinese,Sanh Hing,,,
51.4961827,-0.0825831,restaurant,indian,Tower Tandoori,,,
51.5006223,-0.0914796,restaurant,,Simply Indian,,,
51.4995651,-0.2645088,restaurant,thai,Thai Thai Café,,,
51.5057051,-0.1176830,restaurant,asian,Wagamama,Mo-Sa 11:00-23:00;Su 11:00-22:00,,
51.4383116,-0.1562741,restaurant,american,Bodean's,,,
51.5200450,-0.1018834,restaurant,,Vinoteca Farringdon,,,
51.4975224,-0.1296070,restaurant,indian;curry,The Cinnamon Club,,,
51.3657676,0.0530974,restaurant,,Chapter One,,,
51.5360507,-0.1464791,restaurant,,York & Albany,,,
51.5367912,-0.1420045,restaurant,japanese,Yokoya,"Mo-Th 18:00-22:30; Fr, Sa 18:00-00:30; Su 18:00-21:30",,
51.5165605,-0.1648246,restaurant,lebanese,Al Arez Express,,,
51.5195485,-0.1640981,restaurant,scandinavian,The Harcourt,,,
51.5133550,-0.0908549,restaurant,,Coq d'Argent,,,
51.5112833,-0.1413619,restaurant,italian,StreetXO,,,
51.4924822,-0.2780734,restaurant,,Napa,,,
51.4935053,-0.2675256,restaurant,,Cucina China Buffet,,,
51.5080583,-0.0951602,restaurant,greek,The Real Greek,Mo-Su 12:00-22:30,yes,yes
51.5081984,-0.0960000,restaurant,pizza,PizzaExpress,,yes,yes
51.5117911,-0.0931398,restaurant,asian,Wagamama,Mo-Sa 11:00-22:00,,
51.5097496,-0.0802977,restaurant,pizza,PizzaExpress,,,
51.5112388,-0.0794148,restaurant,,Kirin,,,
51.5053308,-0.0801739,restaurant,,Tavolino,,,
51.5051331,-0.0803967,restaurant,argentinian,Gaucho,,,
51.5083936,-0.1082420,restaurant,,Oxo Tower Restaurant,,,
51.5239089,-0.1670048,restaurant,,Rio's Piri Piri,,,
51.5218536,-0.1575888,restaurant,pizza,PizzaExpress,,yes,yes
51.5405064,-0.0957547,restaurant,japanese,Akari,"Mo off; Tu-Th 18:00-22:30; Fr 18:00-23:00; Sa 12:00-16:00,17:00-23:00; Su 12:00-16:00,17:00-22:30",yes,
51.5361636,-0.1038389,restaurant,pizza,Franco Manca,,yes,
51.5359926,-0.1039142,restaurant,mexican,Wahaca,,,
51.5385359,-0.1025179,restaurant,thai,Isarn,,,
51.5394910,-0.1026162,restaurant,italian,Terra Rossa,,,
51.5397161,-0.1026778,restaurant,french,Le Mercury,,yes,yes
51.5397800,-0.1026842,restaurant,italian,La Porchetta,,,
51.5351424,-0.1039686,restaurant,burger,Gordon Ramsey Street Burger,Su-We 11:30-22:00; Tu-Sa 11:30-23:00,yes,yes
51.5348703,-0.1041977,restaurant,thai,Thai Square,"Mo-Th 12:00-15:00,17:30-22:00; Fr 12:00-15:00,17:30-23:00; Sa 12:00-23:00; Su 12:00-22:00",,
51.5353480,-0.1037375,restaurant,pizza,PizzaExpress,,yes,
51.5365453,-0.1026836,restaurant,french,Bellanger,"Mo-Sa 08:00-00:00, Su 08:00-22:30",,
51.5370798,-0.1029125,restaurant,chicken;portuguese,Nando's,,yes,
51.5379933,-0.1022755,restaurant,italian,Carluccio's,,,
