@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
45.7410332,4.8689407,restaurant,,L'Esprit Bistrot,"Mo-Su 12:00-14:00, 19:30-22:00",,
45.7569848,4.8346121,restaurant,,Comptoir des Marronniers,,,
45.7660411,4.8335068,restaurant,,Léon de Lyon,,,
45.7444130,4.7842094,restaurant,,Restaurant de la Plaine,,,
45.7457647,4.7865335,restaurant,,Le Nabab,,,
45.7628507,4.8335475,restaurant,,Flam's Lyon,"Mo 12:00-14:00,18:30-22:30; Tu-Fr 12:00-14:00,18:30-23:00; Sa 12:00-24:00; Su 12:00-22:30",,
45.7694682,4.8490984,restaurant,french,Restaurant Pierre Orsi,,,
45.7716469,4.8357566,restaurant,french,Maison Villemanzy,"Mo-Sa 12:00-13:30, 19:30-21:30",yes,no
45.7581665,4.8337070,restaurant,,Pizza Pino,Mo-Su 11:30-03:00,,
45.7441506,4.8457064,restaurant,,Le Décalé,,,
45.8201632,4.7673874,restaurant,french,Flunch,,,
45.7455617,4.8642759,restaurant,,Le Lyon de l'Atlas,,,
45.7367814,4.8695675,restaurant,,La Fabryk,,,
45.7450609,4.8660444,restaurant,,Auberge Savoyarde,,,
45.7451100,4.8650782,restaurant,french,Monplaisir côté cour,,,
45.7532609,4.8320183,restaurant,seafood,Bar à huitre Thomas,,,
45.7449861,4.8663125,restaurant,japanese,Ahika Monplaisir,"Mo-Fr 12:00-14:30; Mo-Fr 19:00-22:30; Sa, Su 19:00-22:30",yes,
45.7456501,4.8646870,restaurant,,Restaurant Zagros,,,
45.7435679,4.8722281,restaurant,pizza;italian,Don Vito,"Tu-Th 12:00-14:00,19:00-21:30; Fr-Sa 12:00-14:00,19:00-22:00",,
45.7673664,4.8258870,restaurant,,La Cannelle,,,
45.7368530,4.7638776,restaurant,,Le St Trop's,,,
45.7372314,4.7643862,restaurant,,Tendance Pizz,,,
45.7452912,4.8272600,restaurant,lebanese,Du Monde Ailleurs,,,
45.7450863,4.8721525,restaurant,kebab,Lumière Kebab,Mo-Su 10:00-23:00,,
45.7431160,4.8770665,restaurant,pizza,L'Eden,,,
45.7433052,4.8782342,restaurant,,Le Genova,,,
45.7455477,4.8848994,restaurant,french,Chez Mymy,,,
45.7561585,4.8417302,restaurant,,Basmati,,,
45.7511701,4.8481884,restaurant,asian,Ramen Masa,"Mo-Sa 12:00-14:30,19:00-22:00; Su,PH 12:00-14:30",,
45.7795333,4.8036110,restaurant,,Kebab Place de Paris,,,
45.7611263,4.8283996,restaurant,indian,Le Penjab,Mo-Su 19:30-24:00,,
45.7677486,4.8179453,restaurant,french,Quai des Arts,,,
45.7664741,4.8202523,restaurant,,Le Contretête,,,
45.7665025,4.8203248,restaurant,,Le P'tit Zing,,,
45.7566528,4.8345120,restaurant,,Tony's,,,
45.7565982,4.8347374,restaurant,,Ed's Eat & Drinks,,,
