@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
47.1855646,-1.4420573,restaurant,,Le Vigneron,,,
47.2408259,-1.5299153,restaurant,crepe,Le Comptoir De Jules,,,
47.2155159,-1.5537310,restaurant,regional,Crêperie Sainte-Croix,"Mo 12:00-14:00,17:30-22:00; Tu 11:30-23:00; We,Th 11:00-23:00; Fr,Sa 11:00-00:00",,
47.2155274,-1.5540486,restaurant,crepe;salad,La Cantine du Curé,,,
47.2156525,-1.5531449,restaurant,japanese,Au Soleil Levant,"12:00-14:00,18:00-22:00; We off",,
47.2156313,-1.5532312,restaurant,japanese,Le Tokyo,"Mo-Su 12:00-14:00,19:00-23:00",,
47.2156137,-1.5533042,restaurant,regional,Après la Pluie,,,
47.2154723,-1.5534274,restaurant,regional,"Le loup, le renard et la galette",Mo-Su 12:00-22:30,,
47.2216555,-1.5476158,restaurant,,Barouf,,,
47.2151411,-1.5531107,restaurant,mediterranean,Chez Rémy,"Tu-Su 12:00-14:00,19:00-23:00",,
47.2156598,-1.5527325,restaurant,fries,Pomme Bûche,Tu-Th 19:00-00:00; Fr-Sa 19:00-01:00,,
47.2156386,-1.5528079,restaurant,pizza,La Spiga,,,
47.2156176,-1.5528782,restaurant,japanese,The red & luna,,,
47.2156900,-1.5530088,restaurant,french,La Reine Margot,"Tu-Fr 12:00-14:00,19:00-22:00; Sa 12:00-14:00,19:00-23:00",,
47.2152744,-1.5533013,restaurant,regional,Au Vieux Quimper,,,
47.2151312,-1.5533027,restaurant,regional,Fleur de Sel,"Tu-Fr 12:00-14:00,19:00-22:00; Sa 12:00-14:30,19:00-23:00; Su 12:00-14:30,19:00-22:00",,
47.2150876,-1.5525801,restaurant,regional,La Crêperie Jaune,,,
47.2172918,-1.5524959,restaurant,french,La Cuillère en Coin,Mo-Fr 12:00-15:00,,
47.2145886,-1.5579516,restaurant,french,La Taverne Royale,"Mo-Su 00:00-02:00,11:00-24:00",,
47.2167002,-1.5467755,restaurant,seafood,La Loco,"12:00-15:00,19:00-23:00; Fr,Sa 12:00-15:00,19:00-24:00",yes,yes
47.2009018,-1.5734025,restaurant,asian,La Grande muraille,"Mo-Su 12:00-15:00,19:00-22:30",,
47.2136180,-1.5534618,restaurant,french,La Vache Nantaise,"Su-Th 12:00-14:30,19:00-22:30; Fr,Sa 12:00-14:30,19:00-23:00",,
47.2354192,-1.6518185,restaurant,,Le Bodegon,,,
47.2356848,-1.6528397,restaurant,regional,Chez Fernand,,,
47.2966130,-1.7498830,restaurant,,La Ferme,,,
47.2109342,-1.7278455,restaurant,,Francois II,,,
47.2965578,-1.5302919,restaurant,,Auberge du Vieux gachet,,,
47.2147524,-1.5548521,restaurant,french,Chacha,"We-Sa 12:00-15:30,19:00-23:30",,
47.2148919,-1.5554715,restaurant,italian;italian_pizza;pizza,Mia Nonna - Le Clan des Mamma,"Mo-Th 12:00-14:00,19:00-22:00;Fr,Sa 12:00-14:00,19:00-22:30;Su 12:00-14:00",yes,
47.2149265,-1.5553566,restaurant,french,Les Fils à Maman,"Tu-Fr 12:00-14:00, Mo-We 19:30-22:00, Th 19:30-22:30, Fr,Sa 19:30-23:00; Sa 12:00-14:30; Su 12:00-15:00",,
47.2149559,-1.5552494,restaurant,indian,Shaan Tandoori,"Tu-Fr 12:00-13:45, Th 19:30-22:15, Fr,Sa 19:30-22:30, Mo-We 19:30-22:00",,
47.1908444,-1.4916280,restaurant,french,Flunch,Mo-Fr 11:30-21:30; Sa 11:30-22:00; Su 18:30-21:30,,
47.1905865,-1.4923284,restaurant,coffee_shop,Le Concorde,,,
47.1880127,-1.4699600,restaurant,crepe;pancake;savory_pancakes,Crêperie Fleur de Sarrasin,"Mo-Th 11:30-14:30, 18:30-22:00; Fr-Sa 11:30-14:30, 18:30-22:30; Su 12:00-14:30, 18:30-21:30",,
47.1875738,-1.4692583,restaurant,,Crescendo Cafétéria,,,
47.2134959,-1.5533734,restaurant,french;regional;crepe,BK,"Tu,We,Th,Fr,Sa 19:00-1:30",,
47.2150030,-1.5531827,restaurant,french,bistro Régent,"Mo-We,Su 11:45-14:30,18:45-22:45; Th 11:45-14:30,18:45-23:00; Fr-Sa 11:45-14:30,18:45-23:15",,
47.2142289,-1.5486683,restaurant,pizza,Neo politan,"Mo 12:00-14:00; Tu-Th 12:00-14:00,19:00-22:00; Fr 12:00-14:00,19:00-22:30; Sa 19:00-22:30",,
47.2002928,-1.5889850,restaurant,italian;pizza,Bella Vita,"Mo off; Tu 11:00-14:00; We-Fr 11:00-14:00, 18:00-21:30; Sa-Su 18:00-21:30",,
47.2071714,-1.5891230,restaurant,french,à boire & à manger,"Mo-We 12:00-14:00; Th,Fr 12:00-14:00,19:00-22:00",,
47.2207018,-1.5550616,restaurant,,L'Océanide,"Tu-Sa 12:00-14:00,19:00-21:30",no,
