@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
40.8268641,14.1230427,restaurant,,Boccuccia di Rosa,,,
40.8922055,14.2837684,restaurant,,,,,
40.8943908,14.2897225,restaurant,,,,,
40.9007137,14.2770989,restaurant,,,,,
40.8278315,14.1338333,restaurant,italian,Taverna Viola,,,
40.8441268,14.2313780,restaurant,pizza,Trattoria Vanvitelli,,,
40.8264021,14.1198903,restaurant,,,,,
40.8265246,14.1201146,restaurant,,,,,
40.8266668,14.1203595,restaurant,,,,,
40.8860834,14.2731431,restaurant,,,,,
40.8892631,14.2688690,restaurant,,,,,
40.8926366,14.2639607,restaurant,,,,,
40.8934058,14.2676528,restaurant,,,,,
40.8932882,14.2640050,restaurant,,,,,
40.8923920,14.2611404,restaurant,,,,,
40.8920595,14.2618109,restaurant,,,,,
40.8940790,14.2629804,restaurant,,,,,
40.8993501,14.2653542,restaurant,,,,,
40.8931129,14.2607112,restaurant,,,,,
40.8903772,14.2591762,restaurant,,,,,
40.8896959,14.2580872,restaurant,,,,,
40.8910301,14.2524599,restaurant,,,,,
40.8992983,14.2585110,restaurant,,,,,
40.9031299,14.2501264,restaurant,,,,,
40.8972673,14.2402912,restaurant,,,,,
40.9103193,14.2296168,restaurant,,,,,
40.9093403,14.2633238,restaurant,,,,,
40.9171284,14.2655596,restaurant,,,,,
40.9190305,14.2642756,restaurant,,,,,
40.9164453,14.2665917,restaurant,,,,,
40.9078940,14.2653843,restaurant,,,,,
40.9105616,14.2683723,restaurant,,La Cantina Di Carmine,,,
40.9095199,14.2729785,restaurant,,,,,
40.9101077,14.2730590,restaurant,,,,,
40.9134060,14.2692072,restaurant,,,,,
40.9155829,14.2681558,restaurant,,,,,
40.9155180,14.2710794,restaurant,,,,,
40.9175610,14.2675777,restaurant,,,,,
40.8990445,14.2850044,restaurant,,,,,
40.9037844,14.2847414,restaurant,,,,,
40.9018909,14.2832018,restaurant,,,,,
40.9017490,14.2846395,restaurant,,,,,
40.9019301,14.2802259,restaurant,,,,,
40.8348511,14.1031968,restaurant,,Villa di Livia,,,
40.9239060,14.2890115,restaurant,,,,,
40.9316997,14.2963245,restaurant,,,,,
40.8989449,14.2880595,restaurant,,,,,
40.9017093,14.2885651,restaurant,,,,,
40.9052813,14.2863120,restaurant,,,,,
40.9001767,14.2894878,restaurant,,,,,
40.8986889,14.2988584,restaurant,,,,,
40.9016744,14.2971557,restaurant,,,,,
40.8988382,14.2991446,restaurant,,,,,
40.9046916,14.2928153,restaurant,,,,,
40.9044879,14.3001707,restaurant,,,,,
40.8995323,14.3026868,restaurant,,,,,
40.9134067,14.2951464,restaurant,,,,,
40.9190376,14.3059142,restaurant,italian_pizza;pizza,N'dringte n'dra,,,
40.9169054,14.3012203,restaurant,,,,,
40.9173432,14.3042137,restaurant,,,,,
40.9218985,14.3172824,restaurant,,,,,
40.9261604,14.3170651,restaurant,,,,,
40.9194131,14.3067515,restaurant,,,,,
40.9240818,14.3047444,restaurant,,,,,
40.8234140,14.1190142,restaurant,,Europa,,,
40.8022637,14.3527202,restaurant,italian,Viva lo Rei,,,
40.8232241,14.1198217,restaurant,,Taverna del Mare,,,
40.8237760,14.1197431,restaurant,,Il Capitano,,,
40.8233229,14.1195712,restaurant,,Trattoria dal Tarantino,,,
40.8257245,14.1211248,restaurant,,Sileno,,,
40.8068899,14.3769640,restaurant,pizza,,,,
40.8051935,14.3776493,restaurant,pizza,Shamir,,,
40.8462744,14.3711892,restaurant,pizza,Pizzeria Funiculi,,,
40.8195910,14.3285390,restaurant,pizza,Pizzeria da Michele,,,
40.8277415,14.1229636,restaurant,,,,,
40.8312126,14.1186335,restaurant,italian,la voglia matta,Tu-Su,,
40.8445278,14.1214898,restaurant,,La Falanghina,,,
40.8966992,14.3297555,restaurant,,,,,
40.8502721,14.2327721,restaurant,italian,La Piazzetta,,,
40.8367467,14.2468974,restaurant,pizza,Brandi,,,
40.9060432,14.2846741,restaurant,italian,My Day,,,
