@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
50.0983519,14.3590682,restaurant,pizza;italian,Pizzeria Slamini,Mo-Su 11:00-23:00,,
50.0727358,14.4098710,restaurant,regional;french,Lavande,"Mo-Fr 11:00-23:00; Sa, Su 12:00-23:00",,
50.0730250,14.4078594,restaurant,,Pizzerie U Tučňáka,,,
50.0738049,14.4301538,restaurant,,Legenda,"Mo-Fr 10:00-23:59, Sa, Su 10:28-23:59",,
50.1065407,14.4886807,restaurant,regional,Švejk restaurant U Brázdů,Mo-Su 11:00-23:00,,
50.1072418,14.4890198,restaurant,pizza,Pizzeria Cerreto,,,
50.1072241,14.4905633,restaurant,regional,Šnyt,Mo-Sa 11:00-23:00; Su 11:00-22:00,,
50.1270510,14.4713852,restaurant,pizza;italian,Pizzerie Giovanni,Mo-Su 11:00-23:00,yes,
50.0979452,14.5468223,restaurant,,J. R. Club,,,
50.1015887,14.5017111,restaurant,,La Rocket,,,
50.0824314,14.4457779,restaurant,,U Houdků,Mo-Su 11:00-23:45,,
50.0822069,14.4459760,restaurant,,Pizzeria Mestre,,,
50.0906106,14.4406513,restaurant,,Prima,,,
50.0986480,14.5401018,restaurant,regional,U Rybníka,Mo-Fr 11:00-23:00;Sa-Su 10:00-23:00,,
50.1031752,14.3954293,restaurant,pizza,Pizzeria Grosseto,Mo-Su 11:30-23:00,,
50.0716575,14.4045649,restaurant,italian;pizza,Corleone,"Mo-Fr 10:00-23:00; Sa,Su 11:00-23:00",,
50.0727186,14.4070198,restaurant,regional,Smíchovský radniční sklípek,Mo-Fr 10:00-23:30; Sa 11:00-23:30; Su 11:00-23:00,,
50.0819282,14.4225202,restaurant,chinese,Ju Le Yuan,Mo-Su 11:00-23:00,,
50.0815400,14.4225582,restaurant,,U Balbínů,Mo-Su 11:00-23:00,,
50.0808675,14.4239501,restaurant,indian,Namaste,,,
50.0872661,14.5568227,restaurant,,La Botega,,,
50.0414834,14.4597125,restaurant,,Kačerov,,,
50.0882606,14.4165887,restaurant,,U Parlamentu,Mo-Su 11:00-23:00,,
50.0877850,14.4164882,restaurant,pizza,Pizzeria Donna,Mo-Su 11:00-23:00,,
50.0754300,14.4237440,restaurant,,Pivovarský dům,Mo-Su 11:00-23:30,,
50.0886093,14.3965729,restaurant,,Golden Star,,,
50.0886708,14.4008261,restaurant,,U Mlynáře,,,
50.0890958,14.4186581,restaurant,,,,,
50.0865903,14.4229205,restaurant,regional,U Cerveneho pava,Mo-Su 11:00-23:00,,
50.0873353,14.4066776,restaurant,international;local,Pod Vezi,Mo-Su 12:00-23:00,,
50.0903111,14.4271585,restaurant,regional food,U Benedikta,Mo-Su 11:00-23:00,,
50.0884802,14.3960700,restaurant,,,Mo-Su 11:00-23:00,,
50.0854163,14.4273480,restaurant,,Repre,Mo-Fr 10:30-23:00; Sa 10:30-15:00,,
50.0800227,14.4249429,restaurant,,Aichi Sushi,,,
50.0896926,14.4096354,restaurant,czech,Vojanův Dvůr,Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-21:00,,
50.0855095,14.4302302,restaurant,,,,,
50.0906327,14.4180687,restaurant,belgian,Les Moules,Mo-Su 11:30-00:00,,
50.0910404,14.4212469,restaurant,georgian,Gruzie Restaurant,,,
50.0843052,14.4205614,restaurant,,Venue,,,
50.0907824,14.4192566,restaurant,pizza;italian_pizza,Pepe Nero,Mo-Su 11:30-23:00,,
50.0870535,14.4502687,restaurant,international,Vegan City,,,only
50.0822417,14.4269650,restaurant,,Beanz,Mo-Su 11:00-22:00,,
50.1050200,14.4543516,restaurant,,Hamburg,Mo-Fr 11:00-24:00; Sa-Su 12:00-24:00,,
50.0715153,14.4391369,restaurant,mexican,Las Adelitas,Mo-Su 11:00-24:00,,
50.0577882,14.4302716,restaurant,,Na Klikovce,,,
50.1043107,14.4546440,restaurant,sushi,SUSHI v DUSHI,,,
50.0714998,14.4848731,restaurant,chinese,Ao Xiang,11:00-23:00,,
50.0437730,14.4187901,restaurant,,U báby,,,
50.0831644,14.4189114,restaurant,,,,,
50.0684193,14.4203618,restaurant,sushi,Sushi Home,Mo-Su 11:00-22:00,,
50.0764629,14.4537678,restaurant,vietnamese,Ha Noi,"Mo-Fr 10:00-22:00; Sa,Su 11:00-22:00",,
50.0945756,14.4550880,restaurant,,Podolka,"Mo-Su,PH 10:30-23:00",,
50.1036202,14.4750247,restaurant,pizza;italian,Pizza Scuola,"Mo-Fr 11:00-22:00, Sa-Su 12:00-22:00",,
50.0921837,14.3519696,restaurant,,U Marčanů,Mo-Su 19:00-22:30,,
50.0707202,14.4583640,restaurant,,Sabotage vegan bistro,,,only
50.0699096,14.4737198,restaurant,,Vršovická Kozlovna,Mo-Su 11:00-23:00,,
50.0868466,14.4465890,restaurant,indian,Spice India,,,
50.0514279,14.3687749,restaurant,,U Bučka,,,
50.0804954,14.4261817,restaurant,chinese,Jin Jan Jui Jia,,,
50.0877804,14.4163765,restaurant,international,Forky's,"PH,Mo-Su 11:00-21:00",only,only
50.1008688,14.4214442,restaurant,fish,Vegtral,12:00-24:00,yes,yes
50.0707541,14.4471868,restaurant,italian,Beat Restaurant,,,
50.0473302,14.4154117,restaurant,vietnamese;thai;asian,Chilli and Lime,"Mo-Fr 11:00-22:00, Su 12:00-22:00",,
50.0983205,14.3960698,restaurant,,Budvarka,,,
50.0937125,14.4504977,restaurant,chinese,Ding Feng,Mo-Fr 10:00-22:00; Sa-Su 11:00-21:00,,
50.0581120,14.4296104,restaurant,italian,Café 77 - Tonino Lamborghini Café,"Mo-Fr 10:30-14:00,17:30-21:30",,
50.0950624,14.4567378,restaurant,persian,Aubergine,Mo-Fr 11:30-15:00; Sa-Su 12:30-21:30,,
50.0918191,14.4409292,restaurant,bagel,Bagel Lounge,,,
50.0922438,14.4492881,restaurant,,Charleston,"Mo-Sa 11:00-01:00, Su,PH 12:00-24:00",,
50.0701337,14.4960621,restaurant,,U kašpárka,Mo-Fr 11:00-23:59; Sa 12:00-23:59; Su 12:00-23:00,,
