@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
64.1437116,-21.9187121,restaurant,pizza,Eldsmiðjan,Mo-Su 11:00-23:00,,
64.1478842,-21.9405991,restaurant,,Shalimar,,,
64.1315789,-21.8712744,restaurant,thai,NaNaThai,,,
64.1289449,-21.8107534,restaurant,,Ning's Restaurant,,,
64.1399239,-21.8853434,restaurant,,Askur,,,
64.1467500,-21.9337060,restaurant,international,Sólon,,,
64.1457425,-21.9307468,restaurant,,Bastard,Mo-Th 11:45-01:00; Fr 11:45-04:00; Sa 12:00-04:00; Su 12:00-01:00,,
64.1458699,-21.9401854,restaurant,,Iðnó,,,
64.0652040,-21.9559594,restaurant,regional,Fjörukráin,,,
64.1444714,-21.9224299,restaurant,thai,Ruan thai,,,
64.1447244,-21.9235752,restaurant,,Hereford Steikhús,17:00-23:30,,
64.1451578,-21.9185511,restaurant,,Grýtan,,,
64.1456269,-21.9294523,restaurant,,Gló,Mo-Fr 11:00-21:00; Sa-Su 11:30-17:00,yes,
64.1480398,-21.9381541,restaurant,,Hornið,,,
64.1446341,-21.9330248,restaurant,indian,Gandhi,"Su-Th 16:00-22:00, Fr-Sa 16:00-23:00",,
64.1477313,-21.9422603,restaurant,,Fiskmarkaðurinn,Su-Th 18:00-22:30; Fr-Sa 18:00-23:35,,
64.1468935,-21.9357869,restaurant,regional,Lækjarbrekka,Mo-Su 11:30-23:00,,
64.1462922,-21.9346119,restaurant,,Domo,,,
64.1423094,-21.9336771,restaurant,seafood,Þrír Frakkar,,,
64.1413840,-21.9141580,restaurant,,Restó,,,
64.1470911,-21.9333524,restaurant,,Kitchen & Wine Restaurant,,,
64.1474866,-21.9424345,restaurant,,Fjalakötturinn,,,
64.1335630,-21.8676327,restaurant,indian,Saffran,,,
64.1532834,-21.9501013,restaurant,pizza,Flatey,Mo-Su 11:00-22:00,,
64.1532577,-21.9503159,restaurant,fish,Sjávarbarinn,Mo-Su 11:00-22:00,,
64.1508111,-21.9440241,restaurant,seafood,Sægreifinn,Mo-Su 11:30-23:00,,
64.1557039,-21.9417730,restaurant,japanese,Makake.,,,
64.1429150,-21.9119880,restaurant,thai,Ban Thai,Su-Th 18:00-22:00; Fr-Sa 18:00-23:30,,
64.1481521,-21.9383800,restaurant,,1919,,,
64.1408532,-21.8858143,restaurant,,Gló,,,
64.1221614,-21.8755795,restaurant,pizza,Eldofninn,,,
64.1400117,-21.9502109,restaurant,,Háma,Mo-Fr 08:00-16:00,,
64.0664212,-21.9362299,restaurant,,Pizza Hut,Mo-Su 11:00-21:00,,
64.1486841,-21.9421891,restaurant,tapas,Tapas barinn,"Su-Th 17:00-23:30; Fr,Sa 17:00-01:00",,
64.1486327,-21.9411064,restaurant,,Restaurant Reykjavik,,,
64.1471522,-21.9373009,restaurant,,Grillmarkaðurinn,,,
64.1507948,-21.9462570,restaurant,regional,Forréttabarinn,Mo-Su 11:30-00:00,,
64.1423531,-21.9167731,restaurant,international,Silfurtunglið,,,
64.0691567,-21.9577746,restaurant,,Tilveran Veitingahús,"Mo-Th 11:30-14:00,18:00-21:00;Fr 11:30-14:00,18:00-22:00;Sa 18:00-22:00;Su 18:00-21:00",,
64.0803911,-21.9472531,restaurant,,Bakhúsið,Mo-Fr 11:30-13:30,,
64.0793994,-21.9484406,restaurant,chinese,Dong Huang,"Mo-Fr 11:30-14:00,16:30-21:30;Sa-Su 16:30-21:30",,
64.1214660,-21.8127601,restaurant,,Gallerý fiskur,,,
64.1466149,-21.8726369,restaurant,regional,Lauga-ás,"Mo-Fr 11:00-14:00, Mo-Su 17:00-21:00",,
64.1489232,-21.9415366,restaurant,regional,Fiskfélagið,,,
64.1464123,-21.9331880,restaurant,italian,The Deli,,,
64.0677264,-21.9552933,restaurant,,Krydd Veitingahús,"We 11:30-22:00; Th,Fr 11:30-24:00; Sa 00:00-01:00,11:30-24:00; Su 00:00-01:00,11:30-22:00",,
64.1447982,-21.9073357,restaurant,mexican,Serrano,,,
64.1479799,-21.9404526,restaurant,mediterranean;turkish,101 Bistro,Mo-Su 11:00-23:00,,
64.1426546,-21.9141492,restaurant,,Reykjavik Kitchen,,,
64.1446187,-21.7924304,restaurant,burger,Rima Grill,"Mo-Fr 11:30-14:00,17:30-21:00; Sa,Su 17:00-21:00",,
64.1507360,-21.7891392,restaurant,middle-eastern,Ali Baba,,,
64.1507756,-21.7891218,restaurant,thai,Krua Mai,,,
64.1044794,-21.8762220,restaurant,pizza,Castello,,,
64.1295036,-21.8642075,restaurant,,Gló,,yes,
64.1140580,-21.8917424,restaurant,chinese,Kínahofið,,,
64.1140748,-21.8913850,restaurant,burger,American Style,,,
64.1088898,-21.8427442,restaurant,heimilsmatur,Hjá Dóra,,,
64.0955828,-21.8045362,restaurant,pizza;burger;ice_cream,Skalli,,,
64.1089407,-21.8174691,restaurant,,17. júní,,,
64.1452814,-21.9273696,restaurant,burger,Chuck Norris Grill,12:00-01:00,yes,
64.1469411,-21.9387911,restaurant,,Borg restaurant,,,
64.1468583,-21.9373560,restaurant,,Jómfrúin,,,
64.1465550,-21.9385892,restaurant,regional,Skólabrú,,,
64.1463166,-21.9382459,restaurant,,Kebab Grill,,,
64.1476858,-21.9400096,restaurant,burger;chicken,Dirty Burger & Ribs,"Mo-We, Su 11:00-22:00; Th-Sa 11:00-23:30",,
64.1484838,-21.9391263,restaurant,indian,Taj Mahal,Mo-Fr 11:00-22:00,,
64.1489038,-21.9408098,restaurant,vietnamese,Pho Vietnamese,,,
64.1486569,-21.9420493,restaurant,international,Loving Hut,Tu-Sa 11:00-21:00; Su 16:00-22:00,only,only
64.1507929,-21.9432343,restaurant,,Höfnin,,,
64.1511049,-21.9438401,restaurant,seafood,Kopar,,,
64.1506238,-21.9441470,restaurant,steak_house,Steikhúsið,Mo-Su 17:30-24:00,,
64.1499125,-21.9430848,restaurant,noodle,Ramen Momo,"Tu-Fr 11:30-15:00,17:00-21:00; Sa 12:30-21:00",,
64.1499831,-21.9426695,restaurant,seafood,Icelandic Fish & Chips,Mo-Su 12:00-21:00,,
64.1443290,-21.9225112,restaurant,,Friðrik V,,,
64.1443050,-21.9223867,restaurant,indian,Kitchen-Eldhús,,,
64.1449000,-21.9254241,restaurant,,meze,,,
64.1455839,-21.9288984,restaurant,,Scandinavian Smørrebrød & brasserie,Mo-Fr 11:30-23:00,,
64.1007603,-21.8810104,restaurant,american,TGI Friday's,,,
64.1009347,-21.8814550,restaurant,pizza,Pizza Hut,,,
64.1467234,-21.9357304,restaurant,international,Kornhlaðan,,,
64.1504005,-21.9438547,restaurant,seafood,Reykjavik Fish,Mo-Su 11:30-22:00,,
64.1250340,-21.8097593,restaurant,american,Ruby Tuesday,,,
64.0770304,-21.9420227,restaurant,ice_cream,Ísgerðin,,,
64.1442763,-21.9356448,restaurant,,Hannesarholt,,,
64.1451287,-21.9082588,restaurant,chinese,Bambus,,,
64.1447404,-21.9077330,restaurant,healthfood,Happ,,,
