@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
43.5485327,16.3775096,restaurant,regional,Baletna škola,,,
43.5080520,16.4381740,restaurant,croatian,Konoba Marul,,,
43.5081466,16.4390615,restaurant,,Shook,,,
43.5062022,16.4437642,restaurant,regional,Toć Bistro,,,
43.5015685,16.4271153,restaurant,,Split Marina,Closed,,
43.5076367,16.4338220,restaurant,,Fife,Mo-Su 08:00-22:00,,
43.5133182,16.4440843,restaurant,,Mala Kate,"Su-Th 07:00-23:00, Fr,Sa 07:00-24:00",,
43.5052879,16.4424192,restaurant,,Olea,,,
43.5110731,16.4358119,restaurant,coffee_shop,Restoran kavana Le Monde,,,
43.5201488,16.4282388,restaurant,,Stari mornar,,,
43.5078728,16.4338453,restaurant,,Leut,,,
43.5033813,16.4564785,restaurant,,Pimpinela,,,
43.5097716,16.4392884,restaurant,,Air bnb,,,
43.5146627,16.4018639,restaurant,,Benedikt,,,
43.5146315,16.4164494,restaurant,,Lučica,,,
43.5025579,16.4273037,restaurant,,Velum,,,
43.5020763,16.4243360,restaurant,,,,,
43.5009953,16.4279895,restaurant,,Skipper,,,
43.5074023,16.4338460,restaurant,,Atlantida,,,
43.5125443,16.4418449,restaurant,,,,,
43.4991887,16.5251509,restaurant,,Konoba Pizzeria Porat Stobreč,,,
43.5010101,16.5228552,restaurant,regional;croatian;fine_dining;traditional,Restoran Struja,Mo-Su 11:00 - 00:00,,
43.4995859,16.5225307,restaurant,,Restaurant Lovački rog,,,
43.5183457,16.4562535,restaurant,,Buffet Domovina,,,
43.4987253,16.5223619,restaurant,,Epetium,,,
43.5032526,16.5213946,restaurant,,Pizzeria Ivo,,,
43.5155370,16.4489365,restaurant,,Gostiona Appolo,Mo-Fr 07:00-22:00,,
43.5054393,16.4741518,restaurant,international,Rusulica,,,
43.5164960,16.4455575,restaurant,regional,Stare Grede,Mo-Fr 09:00-00:00; Sa-Su 12:00-23:00,,
43.5126645,16.4418752,restaurant,pizza;burger;wraps;salads;sandwich,No. 11,Mo-Sa 07:00-23:00,,
43.5176478,16.4603691,restaurant,,Pizzeria Podion,,,
43.5016568,16.4560699,restaurant,,Movi,,,
43.5120591,16.4469838,restaurant,,Babilon,,,
43.5083553,16.4393663,restaurant,,Jupiter,,,
43.5082775,16.4398384,restaurant,,Buffet Kibela,,,
43.5085420,16.4394522,restaurant,,Posejdon,,,
43.5077833,16.4392705,restaurant,,Zalogajnica Dioklecijan,,,
43.5063704,16.4419522,restaurant,,Topolino,,,
43.5106432,16.4371590,restaurant,regional;croatian;pizza,Maslina,,,
43.5011009,16.4300225,restaurant,,Zrno soli,,,
43.5131582,16.4379269,restaurant,,konoba Cento,,,
43.5089547,16.4352675,restaurant,,Konoba Hvaranin,,,
43.5082535,16.4344067,restaurant,,Konoba Matejuška,,,
43.5097604,16.4357932,restaurant,,Picaferaj,,,
43.5353737,16.4879210,restaurant,,Girasole,,,
43.5083704,16.4348964,restaurant,,Šperun,,,
43.5083942,16.4342809,restaurant,,Konoba Marjan,,,
43.5099596,16.4676439,restaurant,regional;pizza,Zalogajnica Calypso,"Mo-Sa 08:00-23:00;Su,PH off",,
43.5094430,16.4365947,restaurant,,Bajamonti,,,
43.5100587,16.4366016,restaurant,,Galija,,,
43.5099622,16.4369355,restaurant,asian,Silk,,,
43.5086594,16.4641412,restaurant,,Makedonska kuća,Mo-Sa 09:00-24:00; Su 12:00-24:00,,
43.5015236,16.4527245,restaurant,regional,Konoba Nevera,Mo-Su 09:00-24:00,,
43.5029977,16.4418989,restaurant,,Imperium,,,
43.5083033,16.4511463,restaurant,,Đir,,,
43.5100283,16.4504385,restaurant,,Duje,Mo-Su 10:00-24:00,,
43.5088457,16.4350798,restaurant,,Konoba Varoš,,,
43.5086970,16.4376434,restaurant,,Hotel Marmont,,,
43.5008910,16.4584938,restaurant,,Velo Misto,,,
43.5014071,16.4492384,restaurant,,Bota Šare,,,
43.5201859,16.4464890,restaurant,,Sky,,,
43.5008216,16.4279648,restaurant,,Adriatic,,,
43.5084564,16.4388728,restaurant,,Makarun,,,
43.5062442,16.4432451,restaurant,,Pizzeria Bakra,,,
43.5224131,16.4334800,restaurant,other,Pizzeria Arena,,,
43.5082437,16.4395605,restaurant,,San Giovanni,,,
43.5087677,16.4396238,restaurant,mediterranean,Bajamont,Tu-Su 14:00-23:00,,
43.5085732,16.4383578,restaurant,,Apetit,Mo-Su 09:00-00:00,,
43.5146345,16.4397311,restaurant,,Kogo,,,
43.5091167,16.4403979,restaurant,,,,,
43.5356844,16.4893734,restaurant,,Slap,,,
43.5166230,16.5543640,restaurant,,Rus,,,
43.5167700,16.5546250,restaurant,other,Rusula,,,
43.4957425,16.5385667,restaurant,regional,"Restoran ""Arkada""",,,
43.5147038,16.4217386,restaurant,,Re di mare,,,
