48.8715050,2.3852879,,viewpoint,,,,,,sightseeing (panoramic view of paris)
48.8570374,2.3118779,Musée de l'Armée,museum,,,,,,
48.8533249,2.3488596,Point zéro des Routes de France,attraction,milestone,,,,,
48.8403064,2.3155776,Ibis,hotel,,,,,,
48.8507240,2.3518758,Musée de l'Assistance Publique Hôpitaux de Paris,museum,,,,,,
48.8105558,2.3008317,,information,,,,,,
48.8626324,2.3411196,BVJ Paris-Louvre,hotel,,,,,,
48.8645288,2.3405105,Hôtel Crayon Rouge,hotel,,,,,,
48.8611819,2.3436118,Hôtel Saint-Honoré,hotel,,,,,,
48.8643343,2.3362731,Hôtel Montpensier,hotel,,,,,,
48.8629098,2.3381793,Hôtel Louvre Bon Enfants,hotel,,,,,,
48.8670031,2.3287060,Hôtel Vendôme,hotel,,,,,,
48.8666933,2.3280003,Hôtel Costes,hotel,,,,,,
48.8631692,2.3329513,Musée des Arts Décoratifs - Musée de la Publicité,museum,,,,,,
48.8711661,2.3415044,Hôtel Vivienne,hotel,,,,,,
48.8660977,2.3554138,Musée des Arts et Métiers,museum,,,,,,
48.8643016,2.3480523,Tour de Jean-sans-Peur,museum,castle,,,,,
48.8696872,2.3486973,Hôtel des Boulevards,hotel,,,,,,
48.8695728,2.3486760,Hôtel Sainte-Marie,hotel,,,,,,
48.8559607,2.3573425,Hôtel Paris Rivoli,hotel,,,,,,
48.8569202,2.3552931,Hôtel du Loiret,hotel,,,,,,
48.8534997,2.3618939,Hôtel du Septième Art,hotel,,,,,,
48.8539504,2.3631680,Jardins de Paris Marais-Bastille,hotel,,,,,,
48.8544261,2.3652418,Hôtel de la Place des Vosges,hotel,,,,,,
48.8566251,2.3557614,Hôtel de Nice,hotel,,,,,,
48.8779237,2.3345515,Musée national Gustave Moreau,museum,,,,,,
48.8423193,2.3496779,Young and Happy Hostel,hostel,,,,,,
48.8524744,2.3472030,Hôtel Esmerelda,hotel,,,,,,
48.8369895,2.3513817,Port-Royal-Hôtel,hotel,,,,,,
48.8507040,2.3495969,Maitre Albert B&B,hotel,,,,,,
48.8482841,2.3405763,Le Clos Medicis,hotel,,,,,,
48.8563230,2.3352294,L'Hôtel,hotel,,,,,,
48.8457742,2.3243407,Victoria Palace Hotel,hotel,,,,,,
48.8626245,2.3025393,Visite des Égouts de Paris,museum,,,,,,"La visite présente les entrailles de Paris de l'Antiquité à Belgrand, ingénieur du XIXe siècle, qui a conçu le réseau d'égouts actuel. Dans les galeries souterraines, sont évoqués le cycle de l'eau et le travail des égoutiers de Paris."
48.8519344,2.3253667,Le Petit Chomel,hotel,,,,,,
48.8521505,2.3260910,Hôtel Lindbergh,hotel,,,,,,
